rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
271	primary::APC+KRAS+NRAS+TP53	primary	APC+KRAS+NRAS+TP53	4	7	0.0005514850705113	0.0016129332156694	4	0.0016129332156694	0.0	primary::APC+KRAS+TP53	0.0185601558418684	0.0008480966192613	rule_a_one_step	True	True	True	stable	True	0.3419143860463624	0.3124263441545136	-1.6784119865462397	False	fast_passing	0.2623734239005929	0.10638559251729	0.5272419886857992	0.0	0.0	500
272	primary::APC+KRAS+SOX9+TCF7L2+TP53	primary	APC+KRAS+SOX9+TCF7L2+TP53	5	5	0.000393917907508	0.0011561006605841	5	0.0011561006605841	0.0	primary::APC+KRAS+SOX9+TP53	0.1115906620829371	0.0005186992092407	rule_a_one_step	True	True	True	stable	True	0.3407297656661865	0.3113438900967334	-1.6834191272624577	False	fast_passing	0.2629601168187466	0.057934343996337	0.5475545343631832	0.0	0.0	500
273	primary::APC+FBXW7+KRAS+TCF7L2+TP53	primary	APC+FBXW7+KRAS+TCF7L2+TP53	5	7	0.0005514850705113	0.0018064818646404	4	0.0018064818646404	0.0	primary::APC+FBXW7+KRAS+TP53	0.1267698119543444	0.0008689020436483	rule_a_one_step	True	True	True	stable	True	0.3052812657578477	0.2789526082902342	-1.84190805380862	False	fast_passing	0.2390814002456467	0.0684925093934903	0.4618988266791898	0.0	0.0	500
274	primary::APC+KRAS+SMAD4+TCF7L2+TP53	primary	APC+KRAS+SMAD4+TCF7L2+TP53	5	8	0.0006302686520129	0.0020656599184921	4	0.0020656599184921	0.0	primary::APC+KRAS+SMAD4+TP53	0.0958605853855601	0.0008836121082573	rule_a_one_step	True	True	True	stable	True	0.3051173361430547	0.2788028166103909	-1.8426829587552112	False	fast_passing	0.2411850997832517	0.0901047798799367	0.4272188413162162	0.0	0.0	500
275	primary::APC+KRAS+PIK3CA+SMAD4+TP53	primary	APC+KRAS+PIK3CA+SMAD4+TP53	5	22	0.0017332387930355	0.005736356548759	5	0.005736356548759	0.0	primary::APC+KRAS+SMAD4+TP53	0.2910669502574662	0.0026829617253701	rule_a_one_step	True	True	True	stable	True	0.3021497666682404	0.2760911820027876	-1.8567832840494047	True	fast_passing	0.2337355996518887	0.1473002468529961	0.3539392753729	0.0	0.0	500
276	primary::APC+ARID1A+KRAS+TP53	primary	APC+ARID1A+KRAS+TP53	4	18	0.001418104467029	0.004897293567993	4	0.004897293567993	0.0	primary::APC+KRAS+TP53	0.0766375039811584	0.0035019106837683	rule_a_one_step	True	True	True	stable	True	0.2895690133848044	0.2645954423806448	-1.9181398832763303	True	fast_passing	0.2226465202929806	0.13401106943127	0.3451030638115144	0.0	0.0	500
277	primary::APC+FBXW7+KRAS+PIK3CA+TP53	primary	APC+FBXW7+KRAS+PIK3CA+TP53	5	24	0.0018908059560387	0.0065647685815154	5	0.0065647685815154	0.0	primary::APC+KRAS+PIK3CA+TP53	0.221566704227285	0.0027056518675828	rule_a_one_step	True	True	True	stable	True	0.2880232459487941	0.2631829880100343	-1.9258618577396185	True	fast_passing	0.2272809763600091	0.140440911115996	0.3363068801941448	0.0	0.0	500
278	primary::APC+KRAS+PIK3CA+TCF7L2+TP53	primary	APC+KRAS+PIK3CA+TCF7L2+TP53	5	14	0.0011029701410226	0.0038597343151158	4	0.0038597343151158	0.0	primary::APC+KRAS+PIK3CA+TP53	0.1457061278356121	0.0017792838426313	rule_a_one_step	True	True	True	stable	True	0.2857632289396924	0.2611178837596828	-1.937226824797511	True	fast_passing	0.2235642335383458	0.1122881367823463	0.3603993790680981	0.0	0.0	500
279	metastatic::APC+FBXW7+KRAS+PIK3CA	metastatic	APC+FBXW7+KRAS+PIK3CA	4	5	0.000393917907508	0.0013930794604089	4	0.0013930794604089	0.0	metastatic::APC+KRAS+PIK3CA	0.1562864554884777	0.0008988348893609	rule_a_one_step	True	True	True	stable	True	0.2827677231775831	0.2583807222001143	-1.9524296603965283	False	fast_passing	0.2223012169003764	0.0476931354453272	0.4635055995561126	0.0	0.0	500
280	metastatic::APC+KRAS+PIK3CA+SMAD4+TP53	metastatic	APC+KRAS+PIK3CA+SMAD4+TP53	5	11	0.0008666193965177	0.003363719710764	5	0.003363719710764	0.0	metastatic::APC+KRAS+SMAD4+TP53	0.2910669502574662	0.0017657098534487	rule_a_one_step	True	True	True	stable	True	0.2576372203328674	0.2354175727950041	-2.0867060802120507	True	fast_passing	0.1974230254557623	0.0942590845585629	0.3432985979903963	0.0	0.0	500
281	metastatic::APC+KRAS+SMAD4+SOX9+TP53	metastatic	APC+KRAS+SMAD4+SOX9+TP53	5	5	0.000393917907508	0.0021492855765768	4	0.0021492855765768	0.0	metastatic::APC+KRAS+SMAD4+TP53	0.1885692719837273	0.0011439245208183	rule_a_one_step	True	True	True	stable	True	0.1832785329310166	0.1674718711539553	-2.578009296359089	False	fast_passing	0.1337110469507799	0.0310843707979496	0.2819057641836593	0.0	0.0	500
282	unknown::TP53	unknown	TP53	1	17	0.0013393208855274	0.0234724067279623	1	0.0234724067279623	0.0	unknown::WT	0.3637793145275049	0.0234724067279623	rule_a_one_step	True	True	True	stable	True	0.0570593761855225	0.052138351086996	-4.261511232452276	True	fast_passing	0.044864730433935	0.025362856763809	0.069662813162921	0.0	0.0	500
