rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
58	metastatic::ARID1A+ATM+KRAS	metastatic	ARID1A+ATM+KRAS	3	7	0.0002578458818329	0.0001509635011535	2	0.0001509635011535	0.0	metastatic::ATM+KRAS	0.0578543149356315	0.0001299953297139	rule_a_one_step	True	True	True	stable	True	1.7080014583306569	2.085268753003948	1.060233332657652	False	relative_bottleneck	1.796693809583383	0.5767150968560034	3.56830772460989	0.0	0.038	500
59	unknown::EGFR+TP53	unknown	EGFR+TP53	2	161	0.005930455282157	0.0035213133697701	2	0.0035213133697701	0.0	unknown::EGFR	0.7243601306283101	0.0032285094963174	rule_a_one_step	True	True	True	stable	True	1.6841600441996707	2.0561611924264747	1.0399533688112883	True	relative_bottleneck	1.8478627036758497	1.4690868865232605	2.2873413565281333	0.0	0.0	500
60	primary::ARID1A+KEAP1+KRAS+RBM10+STK11	primary	ARID1A+KEAP1+KRAS+RBM10+STK11	5	5	0.0001841756298806	0.0001093983886039	3	0.0001093983886039	0.0	primary::KEAP1+KRAS+RBM10+STK11	0.076141579243333	5.328900860554469e-05	rule_a_one_step	True	True	True	stable	True	1.6835314536840842	2.0553937573905183	1.0394148014094415	False	relative_bottleneck	1.923526070035801	0.4392044037263556	4.810150899332224	0.002	0.036	500
61	primary::SMARCA4+STK11	primary	SMARCA4+STK11	2	10	0.0003683512597613	0.0002197288238621	2	0.0002197288238621	0.0	primary::STK11	0.0458649283491316	0.0001875278859125	rule_a_one_step	True	True	True	stable	True	1.6763902505392152	2.046675188852876	1.0332821621496329	True	relative_bottleneck	1.8007865551238105	0.7491185828314318	3.143495964840856	0.0	0.008	500
62	primary::CDKN2A+SMARCA4+TP53	primary	CDKN2A+SMARCA4+TP53	3	14	0.0005156917636658	0.0003105188584186	3	0.0003105188584186	0.0	primary::CDKN2A+TP53	0.085749496380715	0.0001768812360881	rule_a_one_step	True	True	True	stable	True	1.6607421675815413	2.0275707213028644	1.0197522362642626	True	relative_bottleneck	1.8229777966290688	0.8946710275259602	3.075971161097654	0.0	0.008	500
63	metastatic::ARID1A+KRAS+STK11	metastatic	ARID1A+KRAS+STK11	3	6	0.0002210107558567	0.0001336640198375	2	0.0001336640198375	0.0	metastatic::KRAS+STK11	0.0274780101017789	9.615481654888028e-05	rule_a_one_step	True	True	True	stable	True	1.6534797806616712	2.018704201638981	1.013429529742009	False	relative_bottleneck	1.7600699530074668	0.4743515313165308	3.5892716214736105	0.0	0.024	500
64	primary::KRAS+MET+PIK3CA	primary	KRAS+MET+PIK3CA	3	5	0.0001841756298806	0.000113198715266	3	0.000113198715266	0.0	primary::KRAS+MET	0.0679126337979342	5.75361196903082e-05	rule_a_one_step	True	True	True	stable	True	1.6270116477986571	1.9863897266481083	0.9901487052137014	False	relative_bottleneck	1.81377523848499	0.5461132095721986	4.163605559157788	0.0	0.022	500
65	metastatic::PIK3CA	metastatic	PIK3CA	1	26	0.0009577132753794	0.0005943658481879	1	0.0005943658481879	0.0	metastatic::WT	0.0150240633581054	0.0005943658481879	rule_a_one_step	True	True	True	stable	True	1.6113194872954812	1.9672314456028583	0.9761667012771716	True	relative_bottleneck	1.7041698828123313	1.0406771191485256	2.493627960234953	0.0	0.0	500
66	primary::ARID1A+KEAP1+TP53	primary	ARID1A+KEAP1+TP53	3	11	0.0004051863857374	0.0002525804287436	2	0.0002525804287436	0.0	primary::KEAP1+TP53	0.0909345783665256	0.0001674793324858	rule_a_one_step	True	True	True	stable	True	1.604187569673034	1.95852421359521	0.9697669647031552	True	relative_bottleneck	1.693273739159643	0.783321744735887	2.974378621279492	0.0	0.002	500
67	primary::EGFR+SMARCA4	primary	EGFR+SMARCA4	2	30	0.0011050537792839	0.0006931539915795	2	0.0006931539915795	0.0	primary::EGFR	0.0115528716831814	0.0005498125171161	rule_a_one_step	True	True	True	stable	True	1.594239939629525	1.946379328123949	0.9607929030649788	True	relative_bottleneck	1.7150122901042604	1.1021643532843803	2.470321239128613	0.0	0.0	500
