state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
primary::ATM+KEAP1+KRAS+STK11	13	0.0004788566376897	0.0019965662942328442	0.2928165199189641	True	full_mhn
metastatic::KRAS+RBM10+TP53	37	0.0013628996611168	0.0019730159617076426	0.8433485119729925	True	full_mhn
metastatic::KEAP1+KRAS+TP53	31	0.00114188890526	0.001945609555407031	0.7165425103843642	True	full_mhn
primary::PIK3CA+TP53	43	0.0015839104169736	0.0019441376844745752	0.9946662786124411	True	full_mhn
metastatic::STK11	36	0.0013260645351407	0.0019207410782957803	0.8428875397562412	True	full_mhn
primary::KEAP1+KRAS+STK11+TP53	15	0.0005525268896419	0.0018986124824620961	0.355296463632051	True	full_mhn
metastatic::ATM+KRAS	61	0.0022469426845439	0.0018704765568316089	1.466606222170193	True	full_mhn
primary::SETD2+TP53	25	0.0009208781494032	0.0018640213103880518	0.6031496681042515	True	full_mhn
metastatic::PIK3CA+TP53	31	0.00114188890526	0.0018485573642623221	0.7541621277075542	True	full_mhn
primary::KEAP1+KRAS	52	0.0019154265507588	0.001843469789378906	1.2685374013911375	True	full_mhn
metastatic::KRAS+NF1+TP53	25	0.0009208781494032	0.0017965092683549324	0.6258157719980196	True	full_mhn
primary::ARID1A+KRAS	46	0.001694415794902	0.0017738856608973095	1.1661869202691206	True	full_mhn
unknown::PIK3CA	7	0.0002578458818329	0.0017709224527013975	0.1777601685646208	True	full_mhn
unknown::ARID1A	5	0.0001841756298806	0.0017623488769820796	0.12758924743550615	True	full_mhn
metastatic::KRAS+PIK3CA+TP53	29	0.0010682186533077	0.0017568116466637692	0.7423500696194235	True	full_mhn
metastatic::EGFR+KEAP1+TP53	12	0.0004420215117135	0.0017419361867100783	0.3098025316615059	True	full_mhn
metastatic::SETD2+TP53	43	0.0015839104169736	0.0017286662710720088	1.1186474960278785	True	full_mhn
primary::KEAP1+KRAS+RBM10+STK11	19	0.0006998673935464	0.001726146607685332	0.4950076143769604	True	full_mhn
metastatic::SMARCA4+TP53	52	0.0019154265507588	0.0017206180313362866	1.3591106994589905	True	full_mhn
primary::BRAF+KRAS	31	0.00114188890526	0.0017203637672533556	0.8103588214898945	True	full_mhn
primary::SMARCA4+TP53	29	0.0010682186533077	0.0017093375010139322	0.7629676687107421	True	full_mhn
primary::ATM+EGFR	53	0.0019522616767349	0.0016974067410069718	1.4041900929557027	True	full_mhn
metastatic::KEAP1+KRAS+SMARCA4+STK11	38	0.0013997347870929	0.0016910211109640303	1.010579594524238	True	full_mhn
primary::KRAS+SMARCA4+TP53	18	0.0006630322675703	0.0016906235603962164	0.4788081627997678	True	full_mhn
primary::CDKN2A+KRAS	49	0.0018049211728304	0.0016652899385362304	1.3232508435183556	True	full_mhn
unknown::SMARCA4	2	7.367025195226167e-05	0.001627829065722431	0.05525316426824801	False	full_mhn
