condition	topology	sparsity	placement	repeat	truth_states_evaluable	truth_states_implanted	evaluable_fraction	spearman_R_star	spearman_occupancy	spearman_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy
branching|s=0.20|late	branching	0.2	late	5	7	10	0.7	0.8260009854911466	0.6261955720694495	0.1998054134216971	0.8888888888888888	0.7647058823529411
branching|s=0.20|late	branching	0.2	late	6	9	10	0.9	0.9492889050691345	0.34616649035037494	0.6031224147187596	0.96875	0.6333333333333333
branching|s=0.20|late	branching	0.2	late	7	5	10	0.5	0.5270462766947298	0.10540925533894598	0.42163702135578385	0.75	0.5
branching|s=0.20|late	branching	0.2	late	8	6	10	0.6	0.9710083124552246	0.6666666666666665	0.30434164578855805	1.0	0.8181818181818182
branching|s=0.20|late	branching	0.2	late	9	7	10	0.7	0.7273929674533081	0.545544725589981	0.18184824186332704	0.7894736842105263	0.631578947368421
branching|s=0.20|late	branching	0.2	late	10	9	10	0.9	0.9831920802501751	0.6909934885213447	0.29219859172883045	1.0	0.7931034482758621
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	1	9	10	0.9	0.9831920802501751	0.8814825547070536	0.10170952554312152	1.0	0.90625
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	2	10	10	1.0	0.9601136296387952	0.8370221386594626	0.12309149097933259	0.975	0.875
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	3	10	10	1.0	0.9601136296387952	0.8862587350511957	0.07385489458759953	0.975	0.9
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	4	9	10	0.9	0.9831920802501751	0.8681558508014494	0.11503622944872571	1.0	0.9032258064516129
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	5	10	10	1.0	0.9847319278346618	0.9354953314429287	0.049236596391733056	1.0	0.95
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	6	9	10	0.9	0.9831920802501751	0.847579379526013	0.1356127007241621	1.0	0.875
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	7	10	10	1.0	0.9601136296387952	0.9108770332470622	0.049236596391733056	0.975	0.925
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	8	10	10	1.0	0.9847319278346618	0.8616404368553291	0.1230914909793327	1.0	0.875
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	9	10	10	1.0	0.9847319278346618	0.8616404368553291	0.1230914909793327	1.0	0.875
mutual_exclusivity|s=0.05|early	mutual_exclusivity	0.05	early	10	9	10	0.9	0.9831920802501751	0.8814825547070536	0.10170952554312152	1.0	0.90625
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	1	8	10	0.8	0.9271050693011065	0.9326733179802502	-0.005568248679143739	0.9583333333333334	0.9583333333333334
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	2	8	10	0.8	0.9759000729485332	0.9572173526639411	0.018682720284592058	1.0	1.0
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	3	7	10	0.7	0.8994232953125818	0.8994232953125818	0.0	0.9444444444444444	0.9444444444444444
mutual_exclusivity|s=0.05|middle	mutual_exclusivity	0.05	middle	4	9	10	0.9	0.6950150912113306	0.7051539618248378	-0.010138870613507156	0.78125	0.8387096774193549
