state	N_v	L_v	F_hat	R_star	eligible_relobstq	variant
metastatic::BRCA2+GATA3+PTEN+TP53	1	9.120758847136082e-05	1.1357984415927878e-05	11.732051263297883	False	full_mhn
primary::ATM+GATA3+PIK3CA+RB1	1	9.120758847136082e-05	1.1247670574758816e-05	11.847115757406257	False	full_mhn
metastatic::AKT1+BRCA1+RUNX1	1	9.120758847136082e-05	1.0879021605270116e-05	12.248569745861564	False	full_mhn
primary::GATA3+MAP2K4+PIK3CA+PTEN+TP53	1	9.120758847136082e-05	1.0305252458259508e-05	12.930537583299879	False	full_mhn
metastatic::BRCA1+NF1+RUNX1+TP53	1	9.120758847136082e-05	1.0148547023599252e-05	13.130200186035745	False	full_mhn
metastatic::ATM+NF1+PTEN	1	9.120758847136082e-05	9.624335272945518e-06	13.845366929045781	False	full_mhn
metastatic::BRCA2+ESR1+GATA3+PIK3CA+RUNX1	1	9.120758847136082e-05	9.346717319263889e-06	14.256604574550833	False	full_mhn
metastatic::BRCA1+CBFB+GATA3+TP53	1	9.120758847136082e-05	8.955444849988516e-06	14.879490019765626	False	full_mhn
primary::GATA3+MAP2K4+NF1+PIK3CA+PTEN+TP53	1	9.120758847136082e-05	8.793764298472154e-06	15.153061586782076	False	full_mhn
primary::AKT1+BRCA2+MAP3K1+NF1+TP53	1	9.120758847136082e-05	8.7152171418908e-06	15.289630733046229	False	full_mhn
metastatic::GATA3+MAP3K1+RB1	1	9.120758847136082e-05	8.655664786109654e-06	15.394825821636399	False	full_mhn
metastatic::BRCA1+ESR1+NF1+PIK3CA+TP53	1	9.120758847136082e-05	8.604075712217567e-06	15.487131461559445	False	full_mhn
metastatic::MAP2K4+NF1+PTEN	1	9.120758847136082e-05	8.5726778899141e-06	15.54385377763646	False	full_mhn
metastatic::CBFB+RUNX1	1	9.120758847136082e-05	8.197333472336689e-06	16.255584982793973	False	full_mhn
metastatic::AKT1+BRCA1+ESR1+PIK3CA	1	9.120758847136082e-05	7.952716147901381e-06	16.755589903335014	False	full_mhn
unknown::PTEN+RB1+TP53	3	0.000273622765414	7.919064171102627e-06	50.480377772492226	False	full_mhn
metastatic::ATM+BRCA1+NF1	1	9.120758847136082e-05	7.813690070796339e-06	17.05371583546303	False	full_mhn
primary::BRCA2+CBFB+GATA3+PTEN	1	9.120758847136082e-05	7.633546156553483e-06	17.456166106612304	False	full_mhn
metastatic::BRCA2+MAP3K1+RB1	1	9.120758847136082e-05	7.019360600133755e-06	18.983559294753594	False	full_mhn
metastatic::AKT1+MAP3K1+NF1+PIK3CA+TP53	1	9.120758847136082e-05	6.762764573157997e-06	19.70384241564519	False	full_mhn
metastatic::ESR1+GATA3+MAP3K1+NF1+PIK3CA	1	9.120758847136082e-05	6.279720126131063e-06	21.21948801085574	False	full_mhn
primary::ATM+NF1+RUNX1+TP53	1	9.120758847136082e-05	6.260891489016151e-06	21.283302241849412	False	full_mhn
primary::ATM+CBFB+NF1+PIK3CA	1	9.120758847136082e-05	5.7340689226075865e-06	23.238723794086315	False	full_mhn
unknown::AKT1+ATM+PIK3CA	1	9.120758847136082e-05	5.7113090102932345e-06	23.331331499656073	False	full_mhn
primary::BRCA2+MAP3K1+NF1+PTEN	1	9.120758847136082e-05	5.6914526047606806e-06	23.41273010395711	False	full_mhn
metastatic::BRCA1+BRCA2+GATA3+PIK3CA	1	9.120758847136082e-05	5.578979128939071e-06	23.884735931618312	False	full_mhn
unknown::AKT1+ESR1+PIK3CA	1	9.120758847136082e-05	5.410370747257983e-06	24.629077884525948	False	full_mhn
metastatic::ATM+BRCA2+GATA3+RB1	1	9.120758847136082e-05	5.36766899110061e-06	24.825011106938963	False	full_mhn
primary::ESR1+MAP2K4+PIK3CA+PTEN+TP53	1	9.120758847136082e-05	5.027388355214308e-06	26.505300809703307	False	full_mhn
metastatic::BRCA1+CBFB+NF1+TP53	1	9.120758847136082e-05	4.831855743885058e-06	27.577901045202314	False	full_mhn
metastatic::ATM+CBFB+ESR1+GATA3+TP53	1	9.120758847136082e-05	4.5495482075015726e-06	29.289158347323916	False	full_mhn
primary::AKT1+BRCA1+BRCA2+ESR1	1	9.120758847136082e-05	4.282161967678317e-06	31.118028004361967	False	full_mhn
primary::ATM+BRCA1+RUNX1	1	9.120758847136082e-05	3.4380051108825e-06	38.75864755611243	False	full_mhn
metastatic::BRCA1+MAP2K4+NF1+RB1+TP53	1	9.120758847136082e-05	3.314283348235649e-06	40.20550234876263	False	full_mhn
primary::AKT1+ATM+BRCA2+PIK3CA+TP53	1	9.120758847136082e-05	3.195487667634857e-06	41.70018454363117	False	full_mhn
metastatic::AKT1+ESR1+GATA3+MAP3K1+NF1	1	9.120758847136082e-05	3.032655334876959e-06	43.93919139962885	False	full_mhn
metastatic::MAP3K1+NF1+PTEN	1	9.120758847136082e-05	2.8863574629603254e-06	46.16629183708124	False	full_mhn
primary::BRCA2+ESR1+MAP3K1+NF1	1	9.120758847136082e-05	2.7647778989311415e-06	48.196428003328144	False	full_mhn
primary::ATM+GATA3+MAP3K1+PTEN	1	9.120758847136082e-05	2.47678877997815e-06	53.80047520570404	False	full_mhn
metastatic::BRCA2+CBFB+RB1+TP53	1	9.120758847136082e-05	2.399561000254645e-06	55.53199589479858	False	full_mhn
unknown::ATM+ESR1+PIK3CA+TP53	1	9.120758847136082e-05	2.344946778440388e-06	56.825345268917296	False	full_mhn
primary::BRCA1+MAP2K4+RB1	1	9.120758847136082e-05	2.226963876440847e-06	59.83590875506791	False	full_mhn
unknown::BRCA1+CBFB+GATA3	1	9.120758847136082e-05	2.1775829021771435e-06	61.19280502314061	False	full_mhn
metastatic::MAP2K4+MAP3K1+NF1	1	9.120758847136082e-05	1.9372227840905016e-06	68.78527315315598	False	full_mhn
unknown::BRCA2+CBFB+TP53	1	9.120758847136082e-05	1.7581128243101433e-06	75.79285556197809	False	full_mhn
primary::BRCA2+GATA3+MAP3K1+NF1+PIK3CA+RUNX1	1	9.120758847136082e-05	1.5546923282827756e-06	85.70980830968033	False	full_mhn
primary::CBFB+NF1+RUNX1	1	9.120758847136082e-05	7.144731382121449e-07	186.50425539670084	False	full_mhn
primary::WT	1196	0.1090842758117475	0.0	159369950708.35684	False	full_mhn
metastatic::WT	596	0.054359722728931	0.0	79418470419.88347	False	full_mhn
unknown::WT	401	0.0365742429770156	0.0	53434239326.12958	False	full_mhn
unknown::MAP3K1+PTEN	2	0.0001824151769427	0.0	266504934.29487962	False	full_mhn
metastatic::AKT1+ATM+BRCA1+BRCA2+ESR1+MAP3K1+NF1+PIK3CA+PTEN+RUNX1+TP53	1	9.120758847136082e-05	0.0	133252467.1474556	False	full_mhn
metastatic::AKT1+ATM+BRCA1+BRCA2+MAP3K1+NF1+RUNX1+TP53	1	9.120758847136082e-05	0.0	133252467.1474556	False	full_mhn
metastatic::AKT1+ATM+BRCA2+PIK3CA+RB1	1	9.120758847136082e-05	0.0	133252467.1474556	False	full_mhn
metastatic::AKT1+BRCA1+BRCA2+MAP2K4+MAP3K1+NF1+RB1+RUNX1+TP53	1	9.120758847136082e-05	0.0	133252467.1474556	False	full_mhn
metastatic::AKT1+BRCA1+ESR1+RUNX1+TP53	1	9.120758847136082e-05	0.0	133252467.1474556	False	full_mhn
