rstar_rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
43	metastatic::NF1	metastatic	NF1	1	10	0.0009120758847136	0.000842762353776	1	0.000842762353776	0.0	metastatic::WT	0.0155034336355715	0.000842762353776	rule_a_one_step	True	True	True	stable	True	1.0822456408318943	1.581139290243483	0.6609644673115775	True	relative_bottleneck	1.3930521175471762	0.6126079571630807	2.365413578586167	0.0	0.0	500
44	primary::AKT1+MAP3K1	primary	AKT1+MAP3K1	2	11	0.0010032834731849	0.0009286033904348	2	0.0009286033904348	0.0	primary::AKT1	0.1003921523236597	0.0007142090369614	rule_a_one_step	True	True	True	stable	True	1.0804219351759696	1.5784748926634613	0.6585313132210662	True	relative_bottleneck	1.3319152215447363	0.6187775532064881	2.3190940738351142	0.0	0.0	500
45	metastatic::MAP3K1+PIK3CA+PTEN	metastatic	MAP3K1+PIK3CA+PTEN	3	6	0.0005472455308281	0.0005156681934301	3	0.0005156681934301	0.0	metastatic::PIK3CA+PTEN	0.2862430531574239	0.0002610753859516	rule_a_one_step	True	True	True	stable	True	1.061235765050241	1.550444280877613	0.63268168000022	False	relative_bottleneck	1.3630907303227802	0.4084653104188187	2.995737937368303	0.008	0.01	500
46	primary::GATA3+PTEN	primary	GATA3+PTEN	2	18	0.0016417365924844	0.0015757034008942	2	0.0015757034008942	0.0	primary::GATA3	0.0295780750295431	0.0008956513051631	rule_a_one_step	True	True	True	stable	True	1.0419071193924545	1.5222055151818432	0.6061631523484305	True	relative_bottleneck	1.3647131625502062	0.7966104966156615	2.045855875559045	0.0	0.0	500
47	metastatic::PTEN+TP53	metastatic	PTEN+TP53	2	68	0.0062021160160525	0.0059847254343212	2	0.0059847254343212	0.0	metastatic::TP53	0.0653363567784197	0.0042369709658387	rule_a_one_step	True	True	True	stable	True	1.0363242362712672	1.5140490343213973	0.598411929515702	True	relative_bottleneck	1.3878904133741	1.0247546463980015	1.7266873323590866	0.0	0.0	500
48	primary::PIK3CA+PTEN	primary	PIK3CA+PTEN	2	41	0.0037395111273257	0.0036409790897223	2	0.0036409790897223	0.0	primary::PIK3CA	0.0297303770653685	0.002077113173301	rule_a_one_step	True	True	True	stable	True	1.0270619616724914	1.500517035916773	0.585459698471773	True	relative_bottleneck	1.3583645172827714	0.9870913954403152	1.8330631841077696	0.0	0.0	500
49	metastatic::GATA3+PTEN	metastatic	GATA3+PTEN	2	9	0.0008208682962422	0.0008019658068491	2	0.0008019658068491	0.0	metastatic::GATA3	0.0295780750295431	0.0004532211423716	rule_a_one_step	True	True	True	stable	True	1.0235701924047826	1.4954156306781294	0.5805465178555818	False	relative_bottleneck	1.3357606105066626	0.5296034304726335	2.346503790858774	0.0	0.0	500
50	metastatic::RUNX1	metastatic	RUNX1	1	5	0.0004560379423568	0.0004487172824535	1	0.0004487172824535	0.0	metastatic::WT	0.0082545910819131	0.0004487172824535	rule_a_one_step	True	True	True	stable	True	1.0163146354581098	1.4848154067288186	0.5702835853356292	False	relative_bottleneck	1.2938534633444454	0.263080381041488	2.560942405445708	0.002	0.002	500
51	metastatic::AKT1+ESR1	metastatic	AKT1+ESR1	2	6	0.0005472455308281	0.0005446517106815	2	0.0005446517106815	0.0	metastatic::ESR1	0.0453441192004665	0.0003101795822724	rule_a_one_step	True	True	True	stable	True	1.0047623446158755	1.467937740278773	0.5537907803774182	False	relative_bottleneck	1.3033832428063905	0.3965937971140943	2.695954618981095	0.0	0.002	500
52	metastatic::AKT1+MAP3K1	metastatic	AKT1+MAP3K1	2	5	0.0004560379423568	0.0004618966505371	2	0.0004618966505371	0.0	metastatic::AKT1	0.1003921523236597	0.0003845740968254	rule_a_one_step	True	True	True	stable	True	0.9873159739071454	1.4424489407318215	0.5285202517950393	False	relative_bottleneck	1.2983298019591902	0.3001927988575376	2.933515913514934	0.01	0.016	500
53	primary::GATA3+NF1	primary	GATA3+NF1	2	8	0.0007296607077708	0.0007553138800216	2	0.0007553138800216	0.0	primary::GATA3	0.016622336139013	0.0005033396204079	rule_a_one_step	True	True	True	stable	True	0.966036406988814	1.4113599179956555	0.4970859437773522	False	relative_bottleneck	1.2392748643852889	0.4603569117623489	2.2777929113098665	0.0	0.0	500
54	primary::BRCA1+TP53	primary	BRCA1+TP53	2	73	0.0066581539584093	0.0069236996364606	2	0.0069236996364606	0.0	primary::TP53	0.0467155147938018	0.0061185223681046	rule_a_one_step	True	True	True	stable	True	0.9616468516897266	1.4049468652761743	0.4905155691279655	True	relative_bottleneck	1.270600913376149	0.9291940534889924	1.6317429312733132	0.0	0.0	500
55	metastatic::GATA3+MAP2K4	metastatic	GATA3+MAP2K4	2	7	0.0006384531192995	0.0006741051512095	2	0.0006741051512095	0.0	metastatic::GATA3	0.0257463188640771	0.000394507622142	rule_a_one_step	True	True	True	stable	True	0.9471120599017434	1.383711824445866	0.4685435146997825	False	relative_bottleneck	1.295572838315242	0.4854489271926125	2.4326441923354336	0.0	0.004	500
56	primary::ATM+GATA3	primary	ATM+GATA3	2	16	0.0014593214155417	0.0015409891404674	2	0.0015409891404674	0.0	primary::GATA3	0.0392847739392423	0.0011895790722207	rule_a_one_step	True	True	True	stable	True	0.9470030490624214	1.383552561784404	0.4683774536227948	True	relative_bottleneck	1.2116049253310657	0.661589933181227	1.9665311995482924	0.0	0.0	500
57	metastatic::ESR1+TP53	metastatic	ESR1+TP53	2	28	0.0025538124771981	0.0027083290666122	2	0.0027083290666122	0.0	metastatic::TP53	0.0266534210233595	0.0017284369160533	rule_a_one_step	True	True	True	stable	True	0.942947630602958	1.3776276763215185	0.4621860316530882	True	relative_bottleneck	1.2510073196724427	0.8072471245509778	1.7296342136427616	0.0	0.0	500
58	primary::MAP2K4+PTEN+TP53	primary	MAP2K4+PTEN+TP53	3	5	0.0004560379423568	0.0004964230852676	3	0.0004964230852676	0.0	primary::PTEN+TP53	0.0347687263004061	0.0002695495928068	rule_a_one_step	True	True	True	stable	True	0.9186477320899006	1.3421260093816632	0.4245201294931471	False	relative_bottleneck	1.1420513996942	0.2617652910664589	2.469262641955265	0.0	0.0	500
59	primary::CBFB	primary	CBFB	1	8	0.0007296607077708	0.0007969151378887	1	0.0007969151378887	0.0	primary::WT	0.0073054996419837	0.0007969151378887	rule_a_one_step	True	True	True	stable	True	0.915606533448876	1.3376828788396329	0.4197361403804096	False	relative_bottleneck	1.1691935848528563	0.4354906717909443	2.1039196498938217	0.0	0.0	500
60	primary::CBFB+GATA3	primary	CBFB+GATA3	2	36	0.0032834731849689	0.0036764157787865	2	0.0036764157787865	0.0	primary::GATA3	0.1177547911498206	0.0035657233365323	rule_a_one_step	True	True	True	stable	True	0.893118020823967	1.3048276105448602	0.3838592153465993	True	relative_bottleneck	1.1805370697274378	0.8302184600699557	1.5917007976737505	0.0	0.0	500
61	primary::ATM+RB1+TP53	primary	ATM+RB1+TP53	3	5	0.0004560379423568	0.0005130746321572	2	0.0005130746321572	0.0	primary::RB1+TP53	0.0513945236679234	0.000365630504022	rule_a_one_step	True	True	True	stable	True	0.8888335397727658	1.298568069205289	0.3769216401472598	False	relative_bottleneck	1.1335302884310865	0.269781783198466	2.263084563503775	0.0	0.0	500
62	metastatic::RUNX1+TP53	metastatic	RUNX1+TP53	2	19	0.0017329441809558	0.0019852576543216	2	0.0019852576543216	0.0	metastatic::TP53	0.0278395666331962	0.0018053567927948	rule_a_one_step	True	True	True	stable	True	0.8729064342406738	1.2752988857717689	0.3508354043292335	True	relative_bottleneck	1.1465330575394597	0.6090248008753552	1.7242839715649445	0.0	0.0	500
63	metastatic::ATM+MAP3K1+PIK3CA	metastatic	ATM+MAP3K1+PIK3CA	3	5	0.0004560379423568	0.0005303854007134	3	0.0005303854007134	0.0	metastatic::MAP3K1+PIK3CA	0.0634620129871143	0.0002604697723841	rule_a_one_step	True	True	True	stable	True	0.8598237072203406	1.256185282598021	0.3290492720090176	False	relative_bottleneck	1.0997691772931826	0.226534046013326	2.5060803730983503	0.0	0.002	500
64	metastatic::ATM+GATA3	metastatic	ATM+GATA3	2	8	0.0007296607077708	0.0008655132262846	2	0.0008655132262846	0.0	metastatic::GATA3	0.0392847739392423	0.0006019556750996	rule_a_one_step	True	True	True	stable	True	0.8430381937200391	1.2316619822483537	0.300606376613798	False	relative_bottleneck	1.0813375491805235	0.4319691615738502	1.9852157018582228	0.0	0.0	500
65	primary::GATA3+RUNX1	primary	GATA3+RUNX1	2	7	0.0006384531192995	0.000761479997247	2	0.000761479997247	0.0	primary::GATA3	0.0188743881899513	0.000571533826985	rule_a_one_step	True	True	True	stable	True	0.8384371497205908	1.2249399487568862	0.2927110245305316	False	relative_bottleneck	1.0530697973327552	0.3314823386725413	1.974034979682122	0.0	0.0	500
