state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::CBFB+PIK3CA	primary	CBFB+PIK3CA	2	48	0.004377964246625319	0.007198758508214845	2	0.007198758508214845	0.0	primary::PIK3CA	0.1003093895702819	0.007008116783184599	rule_a_one_step	True	True	True	stable	True	0.6081554536134613	0.888502984909185	-0.17055147191822012	True	fast_passing	0.8056407808113106	0.5576058828231871	1.0588270110638855	0.0	0.0	500
metastatic::MAP3K1+PIK3CA+TP53	metastatic	MAP3K1+PIK3CA+TP53	3	23	0.0020977745348412986	0.007094631976074138	3	0.007094631976074138	0.0	metastatic::PIK3CA+TP53	0.23004635936318948	0.005539241049970998	rule_a_one_step	True	True	True	stable	True	0.2956847573799637	0.4319895315634653	-1.210931743018216	True	fast_passing	0.38665404557080524	0.23107594024589692	0.5782656904081488	0.0	0.0	500
primary::BRCA1+TP53	primary	BRCA1+TP53	2	73	0.00665815395840934	0.0069236996364606535	2	0.0069236996364606535	0.0	primary::TP53	0.0467155147938018	0.006118522368104651	rule_a_one_step	True	True	True	stable	True	0.9616468516897266	1.4049468652761745	0.4905155691279655	True	relative_bottleneck	1.270600913376149	0.9291940534889923	1.6317429312733132	0.0	0.0	500
primary::MAP2K4+PIK3CA	primary	MAP2K4+PIK3CA	2	51	0.004651587012039402	0.0069070122549138475	2	0.0069070122549138475	0.0	primary::PIK3CA	0.08497921710443038	0.005937074088105953	rule_a_one_step	True	True	True	stable	True	0.6734586301127047	0.9839096229634536	-0.023402292016525654	True	fast_passing	0.8943189899963621	0.6443899813429991	1.1663351475003518	0.0	0.0	500
primary::MAP3K1+TP53	primary	MAP3K1+TP53	2	38	0.003465888361911711	0.006878340255751732	2	0.006878340255751732	0.0	primary::TP53	0.04515159486899379	0.005913689368102434	rule_a_one_step	True	True	True	stable	True	0.5038844012564831	0.7361650576435002	-0.4418988216131103	True	fast_passing	0.6721075892904458	0.47414956810933634	0.9188323572160114	0.0	0.0	500
primary::PIK3CA+RB1+TP53	primary	PIK3CA+RB1+TP53	3	8	0.0007296607077708865	0.006736468382151928	3	0.006736468382151928	0.0	primary::PIK3CA+TP53	0.104808053222463	0.004320798983633097	rule_a_one_step	True	True	True	stable	True	0.1083150200178755	0.15824608334031112	-2.6597583021243376	False	fast_passing	0.13326302366314166	0.054209349413493174	0.26340091192078097	0.0	0.0	500
unknown::PIK3CA	unknown	PIK3CA	1	12	0.0010944910616563297	0.006668170003212807	1	0.006668170003212807	0.0	unknown::WT	0.1823187429307362	0.006668170003212807	rule_a_one_step	True	True	True	stable	True	0.1641366463309804	0.2398003657314096	-2.0600942358079175	True	fast_passing	0.21900270785146705	0.10730121976513804	0.3570296366635767	0.0	0.0	500
metastatic::PTEN+TP53	metastatic	PTEN+TP53	2	68	0.006202116016052536	0.005984725434321264	2	0.005984725434321264	0.0	metastatic::TP53	0.06533635677841977	0.004236970965838787	rule_a_one_step	True	True	True	stable	True	1.0363242362712672	1.5140490343213973	0.598411929515702	True	relative_bottleneck	1.3878904133741	1.0247546463980015	1.7266873323590866	0.0	0.0	500
metastatic::GATA3	metastatic	GATA3	1	168	0.015322874863188618	0.005766259460662125	1	0.005766259460662125	0.0	metastatic::WT	0.10607595423942875	0.005766259460662125	rule_a_one_step	True	True	True	stable	True	2.6573335738818447	3.8823113371175566	1.956915817821017	True	relative_bottleneck	3.5047624806692954	2.9015905931067705	4.297725777160754	0.22	0.792	500
primary::PIK3CA+RUNX1+TP53	primary	PIK3CA+RUNX1+TP53	3	16	0.001459321415541773	0.005698096635967446	3	0.005698096635967446	0.0	primary::PIK3CA+TP53	0.10799075783798595	0.004452008623018027	rule_a_one_step	True	True	True	stable	True	0.256106821017067	0.37416695612483386	-1.4182459396753553	True	fast_passing	0.33363174071469803	0.19469678459937761	0.5336746850609941	0.0	0.0	500
primary::ATM+TP53	primary	ATM+TP53	2	25	0.0022801897117840204	0.005412780005646924	2	0.005412780005646924	0.0	primary::TP53	0.03753275794870049	0.00491581908193487	rule_a_one_step	True	True	True	stable	True	0.42126037063836597	0.6154529972759796	-0.7002794139471928	True	fast_passing	0.5698602604064986	0.3548885175726299	0.8027030788000321	0.0	0.0	500
metastatic::GATA3+TP53	metastatic	GATA3+TP53	2	38	0.003465888361911711	0.005336139546399844	2	0.005336139546399844	0.0	metastatic::TP53	0.06481740612205335	0.0042033177446898886	rule_a_one_step	True	True	True	stable	True	0.6495123171208189	0.9489245374159297	-0.07563473242978977	True	fast_passing	0.8654776924150709	0.6054056436075091	1.1089089134653174	0.0	0.0	500
primary::PIK3CA+PTEN+TP53	primary	PIK3CA+PTEN+TP53	3	31	0.0028274352426121852	0.005335611985522262	3	0.005335611985522262	0.0	primary::PTEN+TP53	0.46888895535197816	0.0036351296246733074	rule_a_one_step	True	True	True	stable	True	0.5299177019907514	0.7741991906468317	-0.3692232954596861	True	fast_passing	0.6898519494285795	0.4747494780763641	1.0384507561291685	0.0	0.0	500
primary::MAP2K4+PIK3CA+TP53	primary	MAP2K4+PIK3CA+TP53	3	14	0.0012769062385990515	0.005323121298996493	3	0.005323121298996493	0.0	primary::PIK3CA+TP53	0.09916874690269731	0.004088313900038232	rule_a_one_step	True	True	True	stable	True	0.23987922999235295	0.3504587693813371	-1.5126833702177056	True	fast_passing	0.31414492874820593	0.1653118225045913	0.501899019596144	0.0	0.0	500
primary::GATA3+MAP3K1+PIK3CA	primary	GATA3+MAP3K1+PIK3CA	3	20	0.0018241517694272164	0.0049642569681592925	3	0.0049642569681592925	0.0	primary::MAP3K1+PIK3CA	0.1920878415762508	0.0027681392711645042	rule_a_one_step	True	True	True	stable	True	0.36745716040886983	0.5368475805152384	-0.897415552389245	True	fast_passing	0.474392291732056	0.26996051414441147	0.7334873397097483	0.0	0.0	500
metastatic::RB1+TP53	metastatic	RB1+TP53	2	37	0.00337468077344035	0.004778323012416551	2	0.004778323012416551	0.0	metastatic::TP53	0.06377337715174247	0.004135613932405044	rule_a_one_step	True	True	True	stable	True	0.7062479376059212	1.0318141470579543	0.045183132326653934	True	relative_bottleneck	0.9363315486656965	0.6509764196394717	1.2571454010226293	0.0	0.0	500
metastatic::BRCA2+TP53	metastatic	BRCA2+TP53	2	32	0.002918642831083546	0.004433346988260212	2	0.004433346988260212	0.0	metastatic::TP53	0.06023870499153405	0.003906395407604954	rule_a_one_step	True	True	True	stable	True	0.6583384603447376	0.9618193565827938	-0.05616213419152227	True	fast_passing	0.8645650854817104	0.5829120946148318	1.1913936816315784	0.0	0.0	500
metastatic::NF1+TP53	metastatic	NF1+TP53	2	23	0.0020977745348412986	0.0043364914850261786	2	0.0043364914850261786	0.0	metastatic::TP53	0.06067367431078064	0.003934602557001554	rule_a_one_step	True	True	True	stable	True	0.4837492571128351	0.7067480137496888	-0.5007321713869791	True	fast_passing	0.638370927791972	0.38233053576360837	0.9229701253408399	0.0	0.0	500
primary::PTEN	primary	PTEN	1	78	0.007114191900766144	0.004314530217468483	1	0.004314530217468483	0.0	primary::WT	0.039552265304619104	0.004314530217468483	rule_a_one_step	True	True	True	stable	True	1.6488914297815367	2.4089974832047463	1.2684328863244416	True	relative_bottleneck	2.1533377253102923	1.7074662470401627	2.7081123164979393	0.0	0.0	500
primary::RUNX1+TP53	primary	RUNX1+TP53	2	26	0.0023713973002553812	0.0042939052034001645	2	0.0042939052034001645	0.0	primary::TP53	0.02783956663319629	0.0036462621019034912	rule_a_one_step	True	True	True	stable	True	0.5522705293599169	0.8068562254899108	-0.30961647374124485	True	fast_passing	0.7335515042950129	0.46888969107039374	1.0	0.0	0.0	500
