rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
11	metastatic::BRCA2+ESR1	metastatic	BRCA2+ESR1	2	10	0.0009120758847136082	0.0003719726728056363	2	0.0003719726728056363	0.0	metastatic::ESR1	0.03366978036892362	0.00023032046038574163	rule_a_one_step	True	True	True	stable	True	2.4519970119906906	3.582318716699096	1.8408936987270221	True	relative_bottleneck	3.2394007260133115	1.464409578508119	5.592182180519019	0.298	0.44	500
12	primary::AKT1	primary	AKT1	1	78	0.007114191900766144	0.003005796325235412	1	0.003005796325235412	0.0	primary::WT	0.027554808453077808	0.003005796325235412	rule_a_one_step	True	True	True	stable	True	2.366824338253238	3.4578831395801544	1.7898891133998007	True	relative_bottleneck	3.135374932900997	2.3775905183185473	3.9192810553503366	0.056	0.352	500
13	metastatic::ATM	metastatic	ATM	1	18	0.0016417365924844946	0.0007094387002279696	1	0.0007094387002279696	0.0	metastatic::WT	0.013050815284059495	0.0007094387002279696	rule_a_one_step	True	True	True	stable	True	2.3141345258481216	3.3809043748283276	1.7574092117616267	True	relative_bottleneck	2.9502666307851193	1.553158572622191	4.609393417211964	0.15	0.296	500
14	metastatic::MAP2K4	metastatic	MAP2K4	1	19	0.0017329441809558555	0.0008089798306254529	1	0.0008089798306254529	0.0	metastatic::WT	0.014881971246606486	0.0008089798306254529	rule_a_one_step	True	True	True	stable	True	2.1421352093214927	3.1296168048028816	1.6459860221246303	True	relative_bottleneck	2.799317132850513	1.62512616348885	4.141617813286016	0.072	0.206	500
15	metastatic::ESR1+MAP3K1	metastatic	ESR1+MAP3K1	2	12	0.0010944910616563297	0.0005249561706618532	2	0.0005249561706618532	0.0	metastatic::ESR1	0.06359706677827548	0.0004350401321023952	rule_a_one_step	True	True	True	stable	True	2.0849189336921223	3.0460249675842457	1.606927767321708	True	relative_bottleneck	2.7209834868684064	1.30841104171262	4.528296584602693	0.102	0.258	500
16	primary::MAP2K4	primary	MAP2K4	1	35	0.0031922655964976288	0.0016233890560873182	1	0.0016233890560873182	0.0	primary::WT	0.014881971246606486	0.0016233890560873182	rule_a_one_step	True	True	True	stable	True	1.9664205463015663	2.8729011876726163	1.5225083727847257	True	relative_bottleneck	2.587383856213633	1.7689579733685783	3.566291589278847	0.01	0.066	500
17	metastatic::RB1	metastatic	RB1	1	13	0.0011856986501276906	0.0006425060522732123	1	0.0006425060522732123	0.0	metastatic::WT	0.011819524089133388	0.0006425060522732123	rule_a_one_step	True	True	True	stable	True	1.8454279832652363	2.6961334669018027	1.4308919161307936	True	relative_bottleneck	2.3990888120682863	1.2313469664470758	3.86492710742525	0.032	0.114	500
18	primary::RUNX1	primary	RUNX1	1	18	0.0016417365924844946	0.0009004460902926077	1	0.0009004460902926077	0.0	primary::WT	0.00825459108191317	0.0009004460902926077	rule_a_one_step	True	True	True	stable	True	1.8232480637766446	2.663729047022696	1.413447339767589	True	relative_bottleneck	2.393724046141926	1.4232402636985622	3.5479561565203013	0.012	0.066	500
19	primary::BRCA2	primary	BRCA2	1	37	0.00337468077344035	0.0019584424611490832	1	0.0019584424611490832	0.0	primary::WT	0.01795348088966434	0.0019584424611490832	rule_a_one_step	True	True	True	stable	True	1.7231452231367408	2.517480793919019	1.3319807718274994	True	relative_bottleneck	2.2711947285203395	1.5756340417962107	3.069905985849549	0.0	0.006	500
20	metastatic::PTEN	metastatic	PTEN	1	40	0.0036483035388544327	0.002150050175260214	1	0.002150050175260214	0.0	metastatic::WT	0.039552265304619104	0.002150050175260214	rule_a_one_step	True	True	True	stable	True	1.696845766269638	2.479057812115483	1.3097919157488747	True	relative_bottleneck	2.246573211709612	1.5394516027891056	3.090875484328485	0.0	0.006	500
21	primary::PTEN	primary	PTEN	1	78	0.007114191900766144	0.004314530217468483	1	0.004314530217468483	0.0	primary::WT	0.039552265304619104	0.004314530217468483	rule_a_one_step	True	True	True	stable	True	1.6488914297815367	2.4089974832047463	1.2684328863244416	True	relative_bottleneck	2.1533377253102923	1.7074662470401627	2.7081123164979393	0.0	0.0	500
22	primary::ATM	primary	ATM	1	24	0.0021889821233126595	0.0014236387340145163	1	0.0014236387340145163	0.0	primary::WT	0.013050815284059495	0.0014236387340145163	rule_a_one_step	True	True	True	stable	True	1.537596631416705	2.2463980031466924	1.1676135583247138	True	relative_bottleneck	2.0582455070988637	1.2433877564602804	2.8678240626177214	0.0	0.002	500
23	metastatic::ESR1+GATA3	metastatic	ESR1+GATA3	2	52	0.0047427946005107625	0.003109066028087318	2	0.003109066028087318	0.0	metastatic::GATA3	0.11455100378313628	0.001755250696421643	rule_a_one_step	True	True	True	stable	True	1.525472458976059	2.2286848290905166	1.1561926113678946	True	relative_bottleneck	2.0116195060567046	1.4218775822125995	2.7167287137184033	0.0	0.002	500
24	primary::NF1	primary	NF1	1	28	0.002553812477198103	0.0016911808307318156	1	0.0016911808307318156	0.0	primary::WT	0.015503433635571594	0.0016911808307318156	rule_a_one_step	True	True	True	stable	True	1.51007652717003	2.206191679873755	1.1415581416046707	True	relative_bottleneck	2.010458090819451	1.3236682851902104	2.7501972809132265	0.0	0.0	500
25	primary::MAP3K1	primary	MAP3K1	1	61	0.00556366289675301	0.003713208458691375	1	0.003713208458691375	0.0	primary::WT	0.03403981399756876	0.003713208458691375	rule_a_one_step	True	True	True	stable	True	1.4983438062121177	2.1890504086243197	1.1303051767367596	True	relative_bottleneck	1.950342443604923	1.4629164646791466	2.604305712668978	0.0	0.0	500
