rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
11	primary::TP53	primary	TP53	1	862	0.03175187859142478	0.01179866042042945	1	0.01179866042042945	0.0	primary::WT	0.19519197629117535	0.01179866042042945	rule_a_one_step	True	True	True	stable	True	2.6911426769902684	3.2855684676568977	1.7161430066256993	True	relative_bottleneck	2.9479667897644477	2.6624583180740906	3.2778509105964733	0.0	0.026	500
12	primary::PIK3CA	primary	PIK3CA	1	65	0.0023942831884485043	0.0009081511702759362	1	0.0009081511702759362	0.0	primary::WT	0.015024063358105496	0.0009081511702759362	rule_a_one_step	True	True	True	stable	True	2.636436822610248	3.218779058204909	1.6865135514749119	True	relative_bottleneck	2.9353778333868106	2.2807104286047983	3.7198882788001413	0.0	0.114	500
13	metastatic::BRAF	metastatic	BRAF	1	70	0.002578458818329159	0.00103186626415753	1	0.00103186626415753	0.0	metastatic::WT	0.026082965865315298	0.00103186626415753	rule_a_one_step	True	True	True	stable	True	2.4988304254093605	3.0507778431609167	1.609177127068555	True	relative_bottleneck	2.7004524791130944	2.0863009489051665	3.4440742509636904	0.0	0.034	500
14	primary::SETD2	primary	SETD2	1	69	0.002541623692353028	0.0010894598030055218	1	0.0010894598030055218	0.0	primary::WT	0.018023555595364962	0.0010894598030055218	rule_a_one_step	True	True	True	stable	True	2.332921033899977	2.848222003259848	1.5100616008406764	True	relative_bottleneck	2.547528449346222	1.9558355214485619	3.208900167385453	0.0	0.004	500
15	metastatic::SETD2	metastatic	SETD2	1	45	0.0016575806689258876	0.0007130285365191531	1	0.0007130285365191531	0.0	metastatic::WT	0.018023555595364962	0.0007130285365191531	rule_a_one_step	True	True	True	stable	True	2.3247045268245836	2.8381906151836933	1.5049714852213778	True	relative_bottleneck	2.512656930401818	1.731357182627773	3.376589604556264	0.0	0.016	500
16	metastatic::EGFR	metastatic	EGFR	1	658	0.024237512892294092	0.010741045056401805	1	0.010741045056401805	0.0	metastatic::WT	0.27150641637913986	0.010741045056401805	rule_a_one_step	True	True	True	stable	True	2.256532093736231	2.754960098112394	1.462031423452602	True	relative_bottleneck	2.466436389620148	2.2176113727548263	2.763553257756521	0.0	0.0	500
17	primary::KEAP1+KRAS+SMARCA4	primary	KEAP1+KRAS+SMARCA4	3	13	0.0004788566376897009	0.00021898887974620198	3	0.00021898887974620198	0.0	primary::KEAP1+KRAS	0.058752690978534965	0.0001125364642288131	rule_a_one_step	True	True	True	stable	True	2.1866710129665154	2.6696679409718755	1.4166603075663227	True	relative_bottleneck	2.379359139943695	1.0884228255592685	4.2737747514052264	0.0	0.094	500
18	metastatic::KEAP1+STK11	metastatic	KEAP1+STK11	2	28	0.0010313835273316634	0.00049156394792747	2	0.00049156394792747	0.0	metastatic::STK11	0.3567062056661642	0.0004730154487985086	rule_a_one_step	True	True	True	stable	True	2.098167551916716	2.561615631672195	1.3570540167094483	True	relative_bottleneck	2.3391347847389192	1.3721140612988576	3.790815065419671	0.0	0.052	500
19	metastatic::MET	metastatic	MET	1	83	0.0030573154560188595	0.0014930847067303004	1	0.0014930847067303004	0.0	metastatic::WT	0.037741400017052326	0.0014930847067303004	rule_a_one_step	True	True	True	stable	True	2.04765037120125	2.4999400997679238	1.3218935273661343	True	relative_bottleneck	2.230480062680525	1.7114014808615705	2.781673437254573	0.0	0.002	500
20	metastatic::EGFR+TP53	metastatic	EGFR+TP53	2	1121	0.04129217621924267	0.02021607163890983	2	0.02021607163890983	0.0	metastatic::EGFR	0.7243601306283101	0.017556688004767496	rule_a_one_step	True	True	True	stable	True	2.0425420405478367	2.4937034292782005	1.318289898787912	True	relative_bottleneck	2.2347666879373267	2.002442673371512	2.4650723423234	0.0	0.0	500
21	unknown::KRAS+RBM10	unknown	KRAS+RBM10	2	11	0.0004051863857374392	0.00020092253110252017	2	0.00020092253110252017	0.0	unknown::KRAS	0.07011815328209413	0.00019112801469260961	rule_a_one_step	True	True	True	stable	True	2.0166298995808694	2.462067754953507	1.2998704646616857	True	relative_bottleneck	2.174744884588981	1.001796585358616	4.010297061373528	0.0	0.064	500
22	metastatic::CDKN2A	metastatic	CDKN2A	1	26	0.0009577132753794018	0.00048748712081521795	1	0.00048748712081521795	0.0	metastatic::WT	0.012322439809954877	0.00048748712081521795	rule_a_one_step	True	True	True	stable	True	1.9645919502719154	2.3985355435873514	1.2621538188086363	True	relative_bottleneck	2.168226787962328	1.3215444452156209	3.1231947156860125	0.0	0.006	500
23	primary::NF1+STK11	primary	NF1+STK11	2	11	0.0004051863857374392	0.00021010398710394297	2	0.00021010398710394297	0.0	primary::NF1	0.06823107343035295	0.00012063840889409686	rule_a_one_step	True	True	True	stable	True	1.928504020290109	2.3544764285411586	1.2354062794023584	True	relative_bottleneck	2.036004677746937	0.9304882052426258	3.5300318752019733	0.0	0.04	500
24	metastatic::KEAP1+KRAS	metastatic	KEAP1+KRAS	2	39	0.0014365699130691027	0.0007563156376601375	2	0.0007563156376601375	0.0	metastatic::KRAS	0.027798509904458094	0.00048330988193989315	rule_a_one_step	True	True	True	stable	True	1.8994317182361586	2.3189825694725332	1.213491976072729	True	relative_bottleneck	2.1364709335109247	1.4407179548768114	3.0276996200691073	0.0	0.002	500
25	metastatic::ATM+KRAS+STK11	metastatic	ATM+KRAS+STK11	3	43	0.001583910416973626	0.0008657095125253029	2	0.0008657095125253029	0.0	metastatic::ATM+KRAS	0.24797925483078126	0.0005571951725606916	rule_a_one_step	True	True	True	stable	True	1.8296095771475331	2.2337379530995203	1.1594599486062414	True	relative_bottleneck	2.005344242629666	1.3823659101611747	2.8017781718389365	0.0	0.002	500
