repeat	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	mask	D_true	log2_D_true	truth_level	pilot_count	log2_occupancy_reference
38	s1::E11+E8	s1	E11+E8	2	12	0.0024	0.003334561716791579	2	0.003334561716791579	0.0	s1::E11	0.052619080671803604	0.0017785249267069617	rule_a_one_step	True	True	True	stable	True	0.719734766699558	0.4449372264488981	-1.1683262857276024	True	fast_passing	1152	1.0	0.0	D=1	61	0.777607578663552
38	s1::E11+E3+E7	s1	E11+E3+E7	3	11	0.0022	0.0024994668231056337	3	0.0024994668231056337	0.0	s1::E11+E3	0.19534035922021886	0.0016799270892938823	rule_a_one_step	True	True	True	stable	True	0.8801877179494912	0.5441286152879574	-0.8779803943181463	True	fast_passing	1092	2.0	1.0	D=2	51	0.6520766965796934
38	s1::E11+E3+E6	s1	E11+E3+E6	3	22	0.0044	0.0024104058235153323	3	0.0024104058235153323	0.0	s1::E11+E3	0.22903928827948397	0.001969737879203562	rule_a_one_step	True	True	True	stable	True	1.825418755318815	1.1284667570302214	0.1743639194831874	True	relative_bottleneck	1060	4.0	2.0	D=4	63	1.6520766965796934
38	s1::E4+E7	s1	E4+E7	2	21	0.0042	0.002348165869945671	2	0.002348165869945671	0.0	s1::E7	0.27657088211048614	0.0020466245276175975	rule_a_one_step	True	True	True	stable	True	1.7886300333240701	1.1057241125363308	0.14499146592849507	True	relative_bottleneck	72	1.0	0.0	D=1	93	1.584962500721156
38	s1::E10+E6	s1	E10+E6	2	31	0.0062	0.001937749669001619	2	0.001937749669001619	0.0	s1::E6	0.23491577634558825	0.0016913935896882353	rule_a_one_step	True	True	True	stable	True	3.199587694934207	1.977972637465094	0.9840224685305625	True	relative_bottleneck	544	4.0	2.0	D=4	82	2.146841388329271
38	s1::E11+E4+E7	s1	E11+E4+E7	3	28	0.0056	0.0014736462012654697	3	0.0014736462012654697	0.0	s1::E4+E7	0.2661270106894724	0.0011177334448957842	rule_a_one_step	True	True	True	stable	True	3.800098009543263	2.3492057725008544	1.232173087962504	True	relative_bottleneck	1096	2.0	1.0	D=2	81	2.0
38	s1::E10+E4	s1	E10+E4	2	21	0.0042	0.001458361523249838	2	0.001458361523249838	0.0	s1::E10	0.2682493457464191	0.0011802971212842442	rule_a_one_step	True	True	True	stable	True	2.8799443280433668	1.7803703543777107	0.8321773832403029	True	relative_bottleneck	520	2.0	1.0	D=2	119	1.584962500721156
38	s1::E14+E4	s1	E14+E4	2	14	0.0028	0.0013772619480855077	2	0.0013772619480855077	0.0	s1::E14	0.23390430859547584	0.0012163024046964743	rule_a_one_step	True	True	True	stable	True	2.0330192102229936	1.2568045487950492	0.3297603073489668	True	relative_bottleneck	8200	1.0	0.0	D=1	64	1.0
38	s1::E3+E7	s1	E3+E7	2	17	0.0034	0.0012964875398110778	2	0.0012964875398110778	0.0	s1::E3	0.1625527354773287	0.0008127636773866435	rule_a_one_step	True	True	True	stable	True	2.6224702459330786	1.6212008807368068	0.6970628642589743	True	relative_bottleneck	68	4.0	2.0	D=4	67	1.2801079191927351
38	s1::E10+E4+E7	s1	E10+E4+E7	3	6	0.0012	0.0011066745191903662	3	0.0011066745191903662	0.0	s1::E10+E4	0.09658794451683317	0.00040566936697069927	rule_a_one_step	True	True	True	stable	True	1.084329654389784	0.6703283644235537	-0.5770601132321432	False	fast_passing	584	0.5	-1.0	D=0.5	60	-0.22239242133644802
39	s1::E11	s1	E11	1	161	0.0322	0.014013374018546392	1	0.014013374018546392	0.0	s1::WT	0.11916134369512238	0.014013374018546392	rule_a_one_step	True	True	True	stable	True	2.297804936561759	1.560053830694805	0.6415958110981329	True	relative_bottleneck	1024	4.0	2.0	D=4	414	4.523561956057013
39	s1::E7	s1	E7	1	45	0.009	0.010102218938351244	1	0.010102218938351244	0.0	s1::WT	0.08590322226489153	0.010102218938351244	rule_a_one_step	True	True	True	stable	True	0.8908933823382342	0.6048562311547017	-0.7253358272910044	True	fast_passing	64	1.0	0.0	D=1	239	2.6844981742720706
39	s1::E3	s1	E3	1	23	0.0046	0.010057582258896863	1	0.010057582258896863	0.0	s1::WT	0.08552365866408898	0.010057582258896863	rule_a_one_step	True	True	True	stable	True	0.4573663810180133	0.3105207771926092	-1.687238291337297	True	fast_passing	4	0.5	-1.0	D=0.5	263	1.7162070339994087
39	s1::E4	s1	E4	1	14	0.0028	0.009575753385366755	1	0.009575753385366755	0.0	s1::WT	0.08142647436536357	0.009575753385366755	rule_a_one_step	True	True	True	stable	True	0.29240519121831515	0.19852330866594384	-2.3326196904279684	True	fast_passing	8	0.25	-2.0	D=0.25	278	1.0
