repeat	truth_states_evaluable	spearman_R_star	spearman_R_star_p	spearman_occupancy	spearman_occupancy_p	spearman_gain	kendall_R_star	kendall_R_star_p	kendall_occupancy	kendall_occupancy_p	kendall_gain	pairwise_concordance_R_star	pairwise_concordance_occupancy	median_abs_error_log2_R_star	median_abs_error_log2_occupancy	absolute_error_gain	calibration_slope_R_star	calibration_slope_occupancy	calibration_slope_gain	adjacent_ordered_levels_R_star	adjacent_ordered_levels_occupancy	adjacent_level_comparisons
24	20	0.7825191220726833	4.549812287764058e-05	0.5484097240618516	0.012290201597987261	0.23410939801083164	0.6621642835894568	0.00013902844898286778	0.4297092443153098	0.01447400939499316	0.23245503927414696	0.8653846153846154	0.7417218543046358	0.8895538785245939	1.362570079384708	0.4730162008601141	0.7788093115701894	0.4778017031535197	0.3010076084166697	4	3	4
25	22	0.7625726997608208	3.691599020770404e-05	0.5727385923135434	0.0053381905703534125	0.18983410744727736	0.6172864558230389	0.00016984873025556373	0.4368542431904609	0.008372816862710752	0.18043221263257797	0.8385416666666666	0.7407407407407407	0.8624369179270648	1.3870231231092474	0.5245862051821826	0.6949973828420452	0.5265422411488185	0.16845514169322662	4	3	4
26	21	0.6867620262837351	0.0005847820422054052	0.4539297334270223	0.03873585420968853	0.23283229285671275	0.5440628444977652	0.001255608956420832	0.3679524918397825	0.029777535276381998	0.1761103526579827	0.7988505747126436	0.7034883720930233	1.2478956991196553	1.192645077942396	-0.05525062117725921	0.5599929679528738	0.41797805370536883	0.14201491424750495	4	3	4
27	21	0.6960605450148495	0.0004575734849713553	0.5174043601018019	0.01629952183498773	0.17865618491304758	0.56498833851691	0.0008080813891625316	0.40142587062379365	0.018216718879037957	0.16356246789311635	0.8103448275862069	0.7235294117647059	0.8425737905712007	1.3219280948873626	0.4793543043161619	0.6281060593848444	0.4550904277407399	0.17301563164410455	4	3	4
28	21	0.8244236216854123	4.310485208806481e-06	0.39382701665434805	0.07732509004147134	0.43059660503106423	0.6977806822630582	3.625800432688148e-05	0.3247070362848611	0.05751290628163211	0.37307364597819714	0.884393063583815	0.6804733727810651	0.9762000033309959	1.2801079191927354	0.3039079158617395	0.6653172805391687	0.4240682263010063	0.2412490542381624	4	3	4
29	21	0.7413164017574474	0.00012045526517259811	0.361938232004786	0.10690575148020473	0.3793781697526614	0.592851256358839	0.0004497170640127806	0.2754524768578552	0.10569224634608296	0.3173987795009838	0.8265895953757225	0.6529411764705882	0.748397841699874	0.9068905956085185	0.15849275390864448	0.6632371574714432	0.37226111197569484	0.29097604549574835	4	2	4
30	21	0.830407341520226	3.1785796000940398e-06	0.46249512810915155	0.03476886202071008	0.36791221341107444	0.7082736248534802	2.762340989088006e-05	0.3504644357688188	0.04001307297228843	0.3578091890846614	0.8901734104046243	0.6941176470588235	0.6608228220403707	1.0	0.3391771779596293	0.6739573687246481	0.3707528445454295	0.30320452417921856	4	3	4
31	21	0.8237587639259888	4.455758899165951e-06	0.5322454559572756	0.013002388434145064	0.2915133079687132	0.7082736248534802	2.762340989088006e-05	0.39728722623729107	0.01966273520452183	0.31098639861618915	0.8901734104046243	0.7218934911242604	1.0610595601209334	1.2801079191927354	0.21904835907180198	0.7584892942469396	0.4460481120286272	0.31244118221831235	4	2	4
32	21	0.79716445354904	1.5154744271271124e-05	0.6075266163023539	0.0034879911021833	0.18963783724668604	0.6767947970822143	6.178123410627054e-05	0.4719126204026099	0.006064706616261914	0.20488217667960446	0.8728323699421965	0.7650602409638554	1.0268466683526825	1.0	-0.026846668352682457	0.7851428051385652	0.49038658558136095	0.2947562195572042	4	4	4
33	22	0.6996979461496791	0.0002895085594372626	0.4944672062737199	0.01931988202133274	0.2052307398759592	0.5698028822981898	0.0005188000516887741	0.38404768632128433	0.02045271032058414	0.18575519597690543	0.8125	0.7127659574468085	0.966931126808688	1.0963225389711981	0.12939141216251016	0.5482051384062532	0.4438280944734902	0.10437704393276298	4	3	4
34	23	0.8478190343652278	3.2729949345221674e-07	0.5831642832066714	0.003492873784144222	0.2646547511585564	0.7288520401581433	5.3654307386195985e-06	0.4707676123023721	0.0036668463509589152	0.25808442785577124	0.9	0.7609756097560976	0.8291709553200901	1.0	0.1708290446799099	0.7349251146223148	0.5640169877947019	0.17090812682761292	4	4	4
35	22	0.8167949643429065	3.5231494701524933e-06	0.7053089472666026	0.00024610815719945873	0.1114860170763039	0.6742667440528579	4.005175839333347e-05	0.5652212281140186	0.000629210050859518	0.10904551593883927	0.8697916666666666	0.8105263157894737	0.7682068763147102	0.8219280948873623	0.05372121857265211	0.763287669164945	0.532235165634998	0.231052503529947	4	3	4
36	20	0.7671000260712509	7.92780592627262e-05	0.46263551587979035	0.03997830731631374	0.3044645101914606	0.6156966145656353	0.00039630893423508686	0.37185132966178497	0.03468204150476078	0.24384528490385032	0.8397435897435898	0.7086092715231788	0.8891307968266395	0.8647930319003043	-0.024337764926335215	0.7429471142533544	0.43773470728361835	0.305212406969736	4	3	4
