state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
primary::APC+KRAS+PIK3CA+SMAD4+TCF7L2+TGFBR2	primary	APC+KRAS+PIK3CA+SMAD4+TCF7L2+TGFBR2	6	1	7.878358150161507e-05	2.9666328749829243e-05	2	2.9666328749829243e-05	0.0	primary::APC+KRAS+PIK3CA+SMAD4+TCF7L2	0.0346036733112289	2.180961053256371e-05	rule_a_one_step	False	True	False	rare_state	False	2.6556565023709595	2.4266222371041652	1.2789495353224798	False	relative_bottleneck	1.7264110510025894	0.0	10.69692330826262	0.004	0.0	500
metastatic::CTNNB1+KRAS+PIK3CA+PTEN	metastatic	CTNNB1+KRAS+PIK3CA+PTEN	4	1	7.878358150161507e-05	2.955391008054276e-05	2	2.955391008054276e-05	0.0	metastatic::CTNNB1+KRAS+PIK3CA	0.08879446526459622	2.0986637973196934e-05	rule_a_one_step	False	True	False	rare_state	False	2.6657582235700565	2.435852746122508	1.2844269210685313	False	relative_bottleneck	1.7482314641857977	0.0	14.36931999768032	0.002	0.0	500
primary::CTNNB1+FBXW7+KRAS+PIK3CA+SOX9	primary	CTNNB1+FBXW7+KRAS+PIK3CA+SOX9	5	1	7.878358150161507e-05	2.9478261723109156e-05	1	2.9478261723109156e-05	0.0	primary::CTNNB1+KRAS+PIK3CA+SOX9	0.12472252535047483	2.9478261723109156e-05	rule_a_one_step	False	True	False	rare_state	False	2.6725992044250817	2.4421037338732154	1.2881244833580432	False	relative_bottleneck	1.627437018464858	0.0	60199274.30231381	0.002	0.0	500
metastatic::ARID1A+CTNNB1+RNF43+TP53	metastatic	ARID1A+CTNNB1+RNF43+TP53	4	1	7.878358150161507e-05	2.9465745010299315e-05	2	2.9465745010299315e-05	0.0	metastatic::ARID1A+RNF43+TP53	0.0636055473452837	1.5033218469695983e-05	rule_a_one_step	False	True	False	rare_state	False	2.6737344940826353	2.4431411116839805	1.2887371936286351	False	relative_bottleneck	1.8791645898223062	0.0	17.221597618803905	0.002	0.0	500
primary::ARID1A+CTNNB1+RNF43+TP53	primary	ARID1A+CTNNB1+RNF43+TP53	4	1	7.878358150161507e-05	2.9108655974019434e-05	3	2.9108655974019434e-05	0.0	primary::CTNNB1+RNF43+TP53	0.1831920593798781	1.4432526540603333e-05	rule_a_one_step	False	True	False	rare_state	False	2.7065344021860014	2.4731122266634746	1.306327708865411	False	relative_bottleneck	2.092947679795839	0.0	30.548619125905535	0.004	0.0	500
primary::APC+ARID1A+BRAF+PTEN+RNF43+SOX9+TGFBR2	primary	APC+ARID1A+BRAF+PTEN+RNF43+SOX9+TGFBR2	7	1	7.878358150161507e-05	2.9095842270514844e-05	2	2.9095842270514844e-05	0.0	primary::APC+ARID1A+BRAF+PTEN+RNF43+SOX9	0.3347230687532963	2.6370682167596025e-05	rule_a_one_step	False	True	False	rare_state	False	2.7077263500883926	2.4742013762891246	1.306962926648314	False	relative_bottleneck	1.7823629941589996	0.0	122238702.41336973	0.002	0.0	500
primary::APC+ARID1A+BRAF+FBXW7+PIK3CA	primary	APC+ARID1A+BRAF+FBXW7+PIK3CA	5	1	7.878358150161507e-05	2.9052312578791605e-05	2	2.9052312578791605e-05	0.0	primary::APC+ARID1A+BRAF+FBXW7	0.11980628302464671	1.8877536126155632e-05	rule_a_one_step	False	True	False	rare_state	False	2.7117833933586497	2.4779085241855903	1.3091229291493176	False	relative_bottleneck	1.638617324849942	0.0	62390302.4605407	0.004	0.0	500
primary::ARID1A+BRAF+FBXW7+PIK3CA+PTEN	primary	ARID1A+BRAF+FBXW7+PIK3CA+PTEN	5	1	7.878358150161507e-05	2.898203040893002e-05	2	2.898203040893002e-05	0.0	primary::ARID1A+BRAF+FBXW7+PTEN	0.20596933201496012	1.6227001655633823e-05	rule_a_one_step	False	True	False	rare_state	False	2.7183595376734035	2.483917515941241	1.3126172664254145	False	relative_bottleneck	2.1056426549316454	0.0	123293390.1332231	0.002	0.0	500
primary::ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TCF7L2	primary	ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA+TCF7L2	6	1	7.878358150161507e-05	2.876496177053809e-05	2	2.876496177053809e-05	0.0	primary::ARID1A+CTNNB1+FBXW7+KRAS+PIK3CA	0.25610488799378456	2.0176860316220324e-05	rule_a_one_step	False	True	False	rare_state	False	2.738873056436127	2.5026618681368045	1.323463383269472	False	relative_bottleneck	1.658619137293389	0.0	123130553.31896994	0.004	0.0	500
unknown::APC+KRAS+SOX9	unknown	APC+KRAS+SOX9	3	1	7.878358150161507e-05	2.876017405402348e-05	1	2.876017405402348e-05	0.0	unknown::APC+KRAS	0.12168429642257333	2.876017405402348e-05	rule_a_one_step	False	True	False	rare_state	False	2.739328997602657	2.5030784871432625	1.3237035292352175	False	relative_bottleneck	2.045098470283513	0.0	16.247775793744886	0.002	0.0	500
primary::ARID1A+FBXW7+RNF43+SOX9	primary	ARID1A+FBXW7+RNF43+SOX9	4	1	7.878358150161507e-05	2.8616108550622177e-05	2	2.8616108550622177e-05	0.0	primary::ARID1A+FBXW7+RNF43	0.09482030896710915	2.2410850618555695e-05	rule_a_one_step	False	True	False	rare_state	False	2.7531199292568456	2.5156800345920987	1.3309484397601763	False	relative_bottleneck	2.0097440926514745	0.0	20.493313572455506	0.0	0.0	500
