state	stage	genotype	event_count	N_v	L_v
metastatic::KRAS+SMAD4+TP53	metastatic	KRAS+SMAD4+TP53	3	41	0.0032301268415662176
primary::BRAF+RNF43+TP53	primary	BRAF+RNF43+TP53	3	39	0.0030725596785629874
primary::PIK3CA+TP53	primary	PIK3CA+TP53	2	37	0.002914992515559757
metastatic::APC+KRAS+SOX9+TP53	metastatic	APC+KRAS+SOX9+TP53	4	35	0.0027574253525565274
primary::APC+FBXW7+KRAS+PIK3CA	primary	APC+FBXW7+KRAS+PIK3CA	4	35	0.0027574253525565274
metastatic::KRAS+PIK3CA+TP53	metastatic	KRAS+PIK3CA+TP53	3	33	0.002599858189553297
metastatic::APC+ARID1A+TP53	metastatic	APC+ARID1A+TP53	3	32	0.0025210746080516822
metastatic::APC+KRAS+TCF7L2+TP53	metastatic	APC+KRAS+TCF7L2+TP53	4	32	0.0025210746080516822
metastatic::APC+FBXW7+TP53	metastatic	APC+FBXW7+TP53	3	31	0.002442291026550067
primary::APC+KRAS+PIK3CA+SMAD4	primary	APC+KRAS+PIK3CA+SMAD4	4	31	0.002442291026550067
primary::FBXW7+TP53	primary	FBXW7+TP53	2	31	0.002442291026550067
metastatic::KRAS+PIK3CA	metastatic	KRAS+PIK3CA	2	29	0.0022847238635468367
primary::FBXW7+KRAS+TP53	primary	FBXW7+KRAS+TP53	3	29	0.0022847238635468367
metastatic::BRAF	metastatic	BRAF	1	28	0.002205940282045222
primary::CTNNB1+TP53	primary	CTNNB1+TP53	2	28	0.002205940282045222
metastatic::PIK3CA+TP53	metastatic	PIK3CA+TP53	2	27	0.002127156700543607
metastatic::SMAD4+TP53	metastatic	SMAD4+TP53	2	27	0.002127156700543607
primary::APC+KRAS+PIK3CA+SOX9	primary	APC+KRAS+PIK3CA+SOX9	4	26	0.0020483731190419916
primary::APC+KRAS+SOX9	primary	APC+KRAS+SOX9	3	26	0.0020483731190419916
primary::BRAF+PIK3CA+TP53	primary	BRAF+PIK3CA+TP53	3	26	0.0020483731190419916
metastatic::APC+BRAF+TP53	metastatic	APC+BRAF+TP53	3	25	0.0019695895375403767
metastatic::APC+KRAS+SMAD4	metastatic	APC+KRAS+SMAD4	3	25	0.0019695895375403767
primary::APC+FBXW7+KRAS	primary	APC+FBXW7+KRAS	3	25	0.0019695895375403767
primary::APC+BRAF+PIK3CA+TP53	primary	APC+BRAF+PIK3CA+TP53	4	24	0.0018908059560387616
primary::APC+FBXW7+KRAS+PIK3CA+TP53	primary	APC+FBXW7+KRAS+PIK3CA+TP53	5	24	0.0018908059560387616
primary::APC+KRAS+TCF7L2	primary	APC+KRAS+TCF7L2	3	23	0.0018120223745371465
primary::APC+PIK3CA	primary	APC+PIK3CA	2	23	0.0018120223745371465
primary::PIK3CA	primary	PIK3CA	1	23	0.0018120223745371465
primary::APC+KRAS+PIK3CA+SMAD4+TP53	primary	APC+KRAS+PIK3CA+SMAD4+TP53	5	22	0.0017332387930355314
primary::NRAS+TP53	primary	NRAS+TP53	2	22	0.0017332387930355314
metastatic::BRAF+RNF43+TP53	metastatic	BRAF+RNF43+TP53	3	21	0.0016544552115339162
primary::APC+CTNNB1+KRAS+TP53	primary	APC+CTNNB1+KRAS+TP53	4	21	0.0016544552115339162
primary::APC+KRAS+PIK3CA+SOX9+TP53	primary	APC+KRAS+PIK3CA+SOX9+TP53	5	21	0.0016544552115339162
primary::BRAF+PIK3CA	primary	BRAF+PIK3CA	2	21	0.0016544552115339162
primary::KRAS+SMAD4	primary	KRAS+SMAD4	2	21	0.0016544552115339162
primary::RNF43+TP53	primary	RNF43+TP53	2	20	0.0015756716300323013
primary::APC+KRAS+PTEN+TP53	primary	APC+KRAS+PTEN+TP53	4	19	0.0014968880485306862
metastatic::BRAF+SMAD4+TP53	metastatic	BRAF+SMAD4+TP53	3	18	0.0014181044670290711
metastatic::NRAS+TP53	metastatic	NRAS+TP53	2	18	0.0014181044670290711
primary::APC+ARID1A+KRAS+TP53	primary	APC+ARID1A+KRAS+TP53	4	18	0.0014181044670290711
primary::APC+CTNNB1+TP53	primary	APC+CTNNB1+TP53	3	18	0.0014181044670290711
primary::APC+FBXW7+KRAS+SMAD4+TP53	primary	APC+FBXW7+KRAS+SMAD4+TP53	5	17	0.001339320885527456
primary::APC+SOX9	primary	APC+SOX9	2	17	0.001339320885527456
primary::BRAF+PTEN+TP53	primary	BRAF+PTEN+TP53	3	17	0.001339320885527456
unknown::TP53	unknown	TP53	1	17	0.001339320885527456
metastatic::APC+ARID1A+KRAS+TP53	metastatic	APC+ARID1A+KRAS+TP53	4	16	0.0012605373040258411
metastatic::APC+KRAS+PIK3CA+SMAD4	metastatic	APC+KRAS+PIK3CA+SMAD4	4	16	0.0012605373040258411
primary::APC+KRAS+PIK3CA+TCF7L2	primary	APC+KRAS+PIK3CA+TCF7L2	4	16	0.0012605373040258411
primary::APC+PIK3CA+TCF7L2+TP53	primary	APC+PIK3CA+TCF7L2+TP53	4	16	0.0012605373040258411
primary::KRAS+RNF43+TP53	primary	KRAS+RNF43+TP53	3	16	0.0012605373040258411
metastatic::APC+FBXW7+KRAS+PIK3CA+TP53	metastatic	APC+FBXW7+KRAS+PIK3CA+TP53	5	15	0.001181753722524226
metastatic::CTNNB1+KRAS+TP53	metastatic	CTNNB1+KRAS+TP53	3	15	0.001181753722524226
metastatic::CTNNB1+TP53	metastatic	CTNNB1+TP53	2	15	0.001181753722524226
metastatic::PIK3CA	metastatic	PIK3CA	1	15	0.001181753722524226
primary::APC+BRAF	primary	APC+BRAF	2	15	0.001181753722524226
primary::APC+FBXW7+PIK3CA+TP53	primary	APC+FBXW7+PIK3CA+TP53	4	15	0.001181753722524226
metastatic::APC+KRAS+PTEN+TP53	metastatic	APC+KRAS+PTEN+TP53	4	14	0.001102970141022611
metastatic::APC+KRAS+TCF7L2	metastatic	APC+KRAS+TCF7L2	3	14	0.001102970141022611
primary::APC+FBXW7+KRAS+SOX9+TP53	primary	APC+FBXW7+KRAS+SOX9+TP53	5	14	0.001102970141022611
primary::APC+KRAS+PIK3CA+TCF7L2+TP53	primary	APC+KRAS+PIK3CA+TCF7L2+TP53	5	14	0.001102970141022611
primary::APC+KRAS+PTEN	primary	APC+KRAS+PTEN	3	14	0.001102970141022611
primary::APC+PTEN+TP53	primary	APC+PTEN+TP53	3	14	0.001102970141022611
primary::KRAS+PIK3CA+SMAD4	primary	KRAS+PIK3CA+SMAD4	3	14	0.001102970141022611
primary::PTEN+TP53	primary	PTEN+TP53	2	14	0.001102970141022611
metastatic::KRAS+PTEN+TP53	metastatic	KRAS+PTEN+TP53	3	13	0.0010241865595209958
metastatic::RNF43+TP53	metastatic	RNF43+TP53	2	13	0.0010241865595209958
metastatic::SMAD4	metastatic	SMAD4	1	13	0.0010241865595209958
primary::APC+ARID1A+KRAS+PIK3CA	primary	APC+ARID1A+KRAS+PIK3CA	4	13	0.0010241865595209958
primary::APC+KRAS+SMAD4+SOX9+TP53	primary	APC+KRAS+SMAD4+SOX9+TP53	5	13	0.0010241865595209958
primary::BRAF+PTEN	primary	BRAF+PTEN	2	13	0.0010241865595209958
primary::CTNNB1+KRAS+TP53	primary	CTNNB1+KRAS+TP53	3	13	0.0010241865595209958
primary::FBXW7	primary	FBXW7	1	13	0.0010241865595209958
primary::SMAD4	primary	SMAD4	1	13	0.0010241865595209958
metastatic::APC+BRAF+PIK3CA+TP53	metastatic	APC+BRAF+PIK3CA+TP53	4	12	0.0009454029780193808
metastatic::APC+FBXW7+KRAS	metastatic	APC+FBXW7+KRAS	3	12	0.0009454029780193808
metastatic::APC+KRAS+SOX9	metastatic	APC+KRAS+SOX9	3	12	0.0009454029780193808
metastatic::APC+NRAS+SMAD4+TP53	metastatic	APC+NRAS+SMAD4+TP53	4	12	0.0009454029780193808
primary::APC+KRAS+SMAD4+SOX9	primary	APC+KRAS+SMAD4+SOX9	4	12	0.0009454029780193808
primary::CTNNB1+KRAS+PIK3CA	primary	CTNNB1+KRAS+PIK3CA	3	12	0.0009454029780193808
primary::CTNNB1+KRAS+PIK3CA+TP53	primary	CTNNB1+KRAS+PIK3CA+TP53	4	12	0.0009454029780193808
metastatic::APC+CTNNB1+KRAS+TP53	metastatic	APC+CTNNB1+KRAS+TP53	4	11	0.0008666193965177657
metastatic::APC+KRAS+PIK3CA+SMAD4+TP53	metastatic	APC+KRAS+PIK3CA+SMAD4+TP53	5	11	0.0008666193965177657
metastatic::APC+NRAS	metastatic	APC+NRAS	2	11	0.0008666193965177657
metastatic::FBXW7+TP53	metastatic	FBXW7+TP53	2	11	0.0008666193965177657
metastatic::KRAS+SMAD4	metastatic	KRAS+SMAD4	2	11	0.0008666193965177657
primary::APC+FBXW7+KRAS+PIK3CA+SOX9	primary	APC+FBXW7+KRAS+PIK3CA+SOX9	5	11	0.0008666193965177657
primary::APC+SMAD4	primary	APC+SMAD4	2	11	0.0008666193965177657
primary::BRAF+FBXW7+TP53	primary	BRAF+FBXW7+TP53	3	11	0.0008666193965177657
primary::RNF43+SMAD4+TP53	primary	RNF43+SMAD4+TP53	3	11	0.0008666193965177657
unknown::APC+TP53	unknown	APC+TP53	2	11	0.0008666193965177657
metastatic::APC+CTNNB1+TP53	metastatic	APC+CTNNB1+TP53	3	10	0.0007878358150161507
metastatic::APC+FBXW7+PIK3CA+TP53	metastatic	APC+FBXW7+PIK3CA+TP53	4	10	0.0007878358150161507
metastatic::APC+SMAD4+SOX9+TP53	metastatic	APC+SMAD4+SOX9+TP53	4	10	0.0007878358150161507
metastatic::NRAS	metastatic	NRAS	1	10	0.0007878358150161507
primary::APC+ARID1A+KRAS+PIK3CA+TP53	primary	APC+ARID1A+KRAS+PIK3CA+TP53	5	10	0.0007878358150161507
primary::APC+BRAF+SMAD4+TP53	primary	APC+BRAF+SMAD4+TP53	4	10	0.0007878358150161507
primary::APC+CTNNB1+KRAS+PIK3CA+TP53	primary	APC+CTNNB1+KRAS+PIK3CA+TP53	5	10	0.0007878358150161507
primary::APC+NRAS	primary	APC+NRAS	2	10	0.0007878358150161507
primary::BRAF+FBXW7	primary	BRAF+FBXW7	2	10	0.0007878358150161507
primary::FBXW7+KRAS+PIK3CA+TP53	primary	FBXW7+KRAS+PIK3CA+TP53	4	10	0.0007878358150161507
primary::KRAS+PTEN+TP53	primary	KRAS+PTEN+TP53	3	10	0.0007878358150161507
metastatic::KRAS+PIK3CA+SMAD4	metastatic	KRAS+PIK3CA+SMAD4	3	9	0.0007090522335145356
metastatic::KRAS+RNF43+TP53	metastatic	KRAS+RNF43+TP53	3	9	0.0007090522335145356
primary::APC+NRAS+SMAD4+TP53	primary	APC+NRAS+SMAD4+TP53	4	9	0.0007090522335145356
primary::ARID1A+TP53	primary	ARID1A+TP53	2	9	0.0007090522335145356
primary::BRAF+SMAD4	primary	BRAF+SMAD4	2	9	0.0007090522335145356
primary::CTNNB1+KRAS	primary	CTNNB1+KRAS	2	9	0.0007090522335145356
primary::PIK3CA+SMAD4+TP53	primary	PIK3CA+SMAD4+TP53	3	9	0.0007090522335145356
primary::SOX9+TP53	primary	SOX9+TP53	2	9	0.0007090522335145356
metastatic::APC+BRAF+SMAD4+TP53	metastatic	APC+BRAF+SMAD4+TP53	4	8	0.0006302686520129206
metastatic::APC+PIK3CA+TCF7L2+TP53	metastatic	APC+PIK3CA+TCF7L2+TP53	4	8	0.0006302686520129206
metastatic::FBXW7+KRAS+TP53	metastatic	FBXW7+KRAS+TP53	3	8	0.0006302686520129206
metastatic::KRAS+PIK3CA+SMAD4+TP53	metastatic	KRAS+PIK3CA+SMAD4+TP53	4	8	0.0006302686520129206
primary::APC+ARID1A+SOX9+TP53	primary	APC+ARID1A+SOX9+TP53	4	8	0.0006302686520129206
primary::APC+BRAF+FBXW7+TP53	primary	APC+BRAF+FBXW7+TP53	4	8	0.0006302686520129206
primary::APC+BRAF+PIK3CA	primary	APC+BRAF+PIK3CA	3	8	0.0006302686520129206
primary::APC+CTNNB1+KRAS	primary	APC+CTNNB1+KRAS	3	8	0.0006302686520129206
primary::APC+FBXW7	primary	APC+FBXW7	2	8	0.0006302686520129206
primary::APC+FBXW7+NRAS+TP53	primary	APC+FBXW7+NRAS+TP53	4	8	0.0006302686520129206
primary::APC+FBXW7+SOX9+TP53	primary	APC+FBXW7+SOX9+TP53	4	8	0.0006302686520129206
primary::APC+KRAS+PIK3CA+PTEN	primary	APC+KRAS+PIK3CA+PTEN	4	8	0.0006302686520129206
primary::APC+KRAS+PIK3CA+SMAD4+TCF7L2	primary	APC+KRAS+PIK3CA+SMAD4+TCF7L2	5	8	0.0006302686520129206
primary::APC+KRAS+SMAD4+TCF7L2+TP53	primary	APC+KRAS+SMAD4+TCF7L2+TP53	5	8	0.0006302686520129206
primary::APC+NRAS+PIK3CA	primary	APC+NRAS+PIK3CA	3	8	0.0006302686520129206
primary::APC+NRAS+PIK3CA+TP53	primary	APC+NRAS+PIK3CA+TP53	4	8	0.0006302686520129206
primary::APC+NRAS+TCF7L2+TP53	primary	APC+NRAS+TCF7L2+TP53	4	8	0.0006302686520129206
primary::APC+SMAD4+TCF7L2+TP53	primary	APC+SMAD4+TCF7L2+TP53	4	8	0.0006302686520129206
primary::APC+TCF7L2	primary	APC+TCF7L2	2	8	0.0006302686520129206
primary::BRAF+RNF43+SMAD4+TP53	primary	BRAF+RNF43+SMAD4+TP53	4	8	0.0006302686520129206
primary::FBXW7+KRAS	primary	FBXW7+KRAS	2	8	0.0006302686520129206
primary::PTEN	primary	PTEN	1	8	0.0006302686520129206
unknown::APC+KRAS+TP53	unknown	APC+KRAS+TP53	3	8	0.0006302686520129206
metastatic::APC+KRAS+PIK3CA+SMAD4+SOX9	metastatic	APC+KRAS+PIK3CA+SMAD4+SOX9	5	7	0.0005514850705113054
metastatic::APC+KRAS+PIK3CA+SOX9	metastatic	APC+KRAS+PIK3CA+SOX9	4	7	0.0005514850705113054
metastatic::APC+KRAS+SMAD4+SOX9	metastatic	APC+KRAS+SMAD4+SOX9	4	7	0.0005514850705113054
metastatic::APC+KRAS+SMAD4+TCF7L2+TP53	metastatic	APC+KRAS+SMAD4+TCF7L2+TP53	5	7	0.0005514850705113054
metastatic::APC+NRAS+PIK3CA+TP53	metastatic	APC+NRAS+PIK3CA+TP53	4	7	0.0005514850705113054
metastatic::BRAF+SMAD4	metastatic	BRAF+SMAD4	2	7	0.0005514850705113054
metastatic::FBXW7+KRAS+PIK3CA+TP53	metastatic	FBXW7+KRAS+PIK3CA+TP53	4	7	0.0005514850705113054
metastatic::PTEN+TP53	metastatic	PTEN+TP53	2	7	0.0005514850705113054
metastatic::SOX9+TP53	metastatic	SOX9+TP53	2	7	0.0005514850705113054
primary::APC+ARID1A+FBXW7+TP53	primary	APC+ARID1A+FBXW7+TP53	4	7	0.0005514850705113054
primary::APC+ARID1A+KRAS	primary	APC+ARID1A+KRAS	3	7	0.0005514850705113054
primary::APC+ARID1A+KRAS+SMAD4+TP53	primary	APC+ARID1A+KRAS+SMAD4+TP53	5	7	0.0005514850705113054
primary::APC+ARID1A+PIK3CA+TP53	primary	APC+ARID1A+PIK3CA+TP53	4	7	0.0005514850705113054
primary::APC+BRAF+KRAS	primary	APC+BRAF+KRAS	3	7	0.0005514850705113054
primary::APC+FBXW7+KRAS+PIK3CA+SMAD4+TP53	primary	APC+FBXW7+KRAS+PIK3CA+SMAD4+TP53	6	7	0.0005514850705113054
primary::APC+FBXW7+KRAS+TCF7L2+TP53	primary	APC+FBXW7+KRAS+TCF7L2+TP53	5	7	0.0005514850705113054
primary::APC+KRAS+NRAS+TP53	primary	APC+KRAS+NRAS+TP53	4	7	0.0005514850705113054
primary::APC+KRAS+PIK3CA+PTEN+TP53	primary	APC+KRAS+PIK3CA+PTEN+TP53	5	7	0.0005514850705113054
primary::APC+KRAS+PIK3CA+SMAD4+SOX9	primary	APC+KRAS+PIK3CA+SMAD4+SOX9	5	7	0.0005514850705113054
primary::APC+NRAS+SOX9+TP53	primary	APC+NRAS+SOX9+TP53	4	7	0.0005514850705113054
primary::APC+PIK3CA+PTEN	primary	APC+PIK3CA+PTEN	3	7	0.0005514850705113054
primary::APC+RNF43+TP53	primary	APC+RNF43+TP53	3	7	0.0005514850705113054
primary::ARID1A+KRAS+TP53	primary	ARID1A+KRAS+TP53	3	7	0.0005514850705113054
primary::BRAF+CTNNB1+TP53	primary	BRAF+CTNNB1+TP53	3	7	0.0005514850705113054
primary::BRAF+KRAS+TP53	primary	BRAF+KRAS+TP53	3	7	0.0005514850705113054
primary::BRAF+RNF43	primary	BRAF+RNF43	2	7	0.0005514850705113054
primary::FBXW7+KRAS+PIK3CA	primary	FBXW7+KRAS+PIK3CA	3	7	0.0005514850705113054
primary::KRAS+PIK3CA+PTEN+TP53	primary	KRAS+PIK3CA+PTEN+TP53	4	7	0.0005514850705113054
primary::KRAS+PIK3CA+SMAD4+TP53	primary	KRAS+PIK3CA+SMAD4+TP53	4	7	0.0005514850705113054
primary::KRAS+PTEN	primary	KRAS+PTEN	2	7	0.0005514850705113054
primary::NRAS+PIK3CA+TP53	primary	NRAS+PIK3CA+TP53	3	7	0.0005514850705113054
metastatic::APC+ARID1A+TCF7L2+TP53	metastatic	APC+ARID1A+TCF7L2+TP53	4	6	0.0004727014890096904
metastatic::APC+FBXW7+KRAS+SMAD4+SOX9+TP53	metastatic	APC+FBXW7+KRAS+SMAD4+SOX9+TP53	6	6	0.0004727014890096904
metastatic::APC+KRAS+PIK3CA+PTEN+TP53	metastatic	APC+KRAS+PIK3CA+PTEN+TP53	5	6	0.0004727014890096904
metastatic::APC+KRAS+PIK3CA+TCF7L2	metastatic	APC+KRAS+PIK3CA+TCF7L2	4	6	0.0004727014890096904
metastatic::APC+KRAS+PTEN	metastatic	APC+KRAS+PTEN	3	6	0.0004727014890096904
metastatic::APC+KRAS+TGFBR2+TP53	metastatic	APC+KRAS+TGFBR2+TP53	4	6	0.0004727014890096904
metastatic::APC+RNF43+TP53	metastatic	APC+RNF43+TP53	3	6	0.0004727014890096904
metastatic::BRAF+PTEN+TP53	metastatic	BRAF+PTEN+TP53	3	6	0.0004727014890096904
metastatic::CTNNB1+KRAS	metastatic	CTNNB1+KRAS	2	6	0.0004727014890096904
metastatic::KRAS+PTEN	metastatic	KRAS+PTEN	2	6	0.0004727014890096904
metastatic::KRAS+PTEN+SMAD4+TP53	metastatic	KRAS+PTEN+SMAD4+TP53	4	6	0.0004727014890096904
metastatic::RNF43+SMAD4+TP53	metastatic	RNF43+SMAD4+TP53	3	6	0.0004727014890096904
primary::APC+ARID1A+KRAS+SOX9	primary	APC+ARID1A+KRAS+SOX9	4	6	0.0004727014890096904
primary::APC+ARID1A+KRAS+SOX9+TP53	primary	APC+ARID1A+KRAS+SOX9+TP53	5	6	0.0004727014890096904
primary::APC+FBXW7+PIK3CA	primary	APC+FBXW7+PIK3CA	3	6	0.0004727014890096904
primary::APC+FBXW7+TCF7L2+TP53	primary	APC+FBXW7+TCF7L2+TP53	4	6	0.0004727014890096904
primary::APC+KRAS+PIK3CA+PTEN+SMAD4	primary	APC+KRAS+PIK3CA+PTEN+SMAD4	5	6	0.0004727014890096904
primary::APC+KRAS+RNF43+TP53	primary	APC+KRAS+RNF43+TP53	4	6	0.0004727014890096904
primary::APC+PIK3CA+SMAD4+TP53	primary	APC+PIK3CA+SMAD4+TP53	4	6	0.0004727014890096904
primary::APC+RNF43	primary	APC+RNF43	2	6	0.0004727014890096904
primary::APC+TGFBR2+TP53	primary	APC+TGFBR2+TP53	3	6	0.0004727014890096904
primary::ARID1A+BRAF	primary	ARID1A+BRAF	2	6	0.0004727014890096904
primary::ARID1A+BRAF+FBXW7+RNF43	primary	ARID1A+BRAF+FBXW7+RNF43	4	6	0.0004727014890096904
primary::ARID1A+BRAF+RNF43	primary	ARID1A+BRAF+RNF43	3	6	0.0004727014890096904
primary::ARID1A+BRAF+TP53	primary	ARID1A+BRAF+TP53	3	6	0.0004727014890096904
primary::BRAF+FBXW7+RNF43+TP53	primary	BRAF+FBXW7+RNF43+TP53	4	6	0.0004727014890096904
primary::BRAF+PIK3CA+PTEN+TP53	primary	BRAF+PIK3CA+PTEN+TP53	4	6	0.0004727014890096904
primary::BRAF+PIK3CA+RNF43+TP53	primary	BRAF+PIK3CA+RNF43+TP53	4	6	0.0004727014890096904
primary::KRAS+PIK3CA+PTEN	primary	KRAS+PIK3CA+PTEN	3	6	0.0004727014890096904
primary::RNF43	primary	RNF43	1	6	0.0004727014890096904
metastatic::APC+BRAF+FBXW7+TP53	metastatic	APC+BRAF+FBXW7+TP53	4	5	0.00039391790750807534
metastatic::APC+FBXW7+KRAS+PIK3CA	metastatic	APC+FBXW7+KRAS+PIK3CA	4	5	0.00039391790750807534
metastatic::APC+FBXW7+KRAS+PIK3CA+SMAD4+TP53	metastatic	APC+FBXW7+KRAS+PIK3CA+SMAD4+TP53	6	5	0.00039391790750807534
metastatic::APC+FBXW7+TCF7L2+TP53	metastatic	APC+FBXW7+TCF7L2+TP53	4	5	0.00039391790750807534
metastatic::APC+KRAS+PIK3CA+PTEN	metastatic	APC+KRAS+PIK3CA+PTEN	4	5	0.00039391790750807534
metastatic::APC+KRAS+SMAD4+SOX9+TP53	metastatic	APC+KRAS+SMAD4+SOX9+TP53	5	5	0.00039391790750807534
metastatic::APC+NRAS+SOX9+TP53	metastatic	APC+NRAS+SOX9+TP53	4	5	0.00039391790750807534
metastatic::APC+NRAS+TCF7L2+TP53	metastatic	APC+NRAS+TCF7L2+TP53	4	5	0.00039391790750807534
metastatic::APC+PTEN+TP53	metastatic	APC+PTEN+TP53	3	5	0.00039391790750807534
metastatic::APC+SOX9	metastatic	APC+SOX9	2	5	0.00039391790750807534
metastatic::ARID1A	metastatic	ARID1A	1	5	0.00039391790750807534
metastatic::ARID1A+BRAF+TP53	metastatic	ARID1A+BRAF+TP53	3	5	0.00039391790750807534
metastatic::ARID1A+KRAS+TP53	metastatic	ARID1A+KRAS+TP53	3	5	0.00039391790750807534
metastatic::ARID1A+TP53	metastatic	ARID1A+TP53	2	5	0.00039391790750807534
metastatic::FBXW7+KRAS	metastatic	FBXW7+KRAS	2	5	0.00039391790750807534
metastatic::NRAS+PIK3CA+TP53	metastatic	NRAS+PIK3CA+TP53	3	5	0.00039391790750807534
metastatic::SOX9	metastatic	SOX9	1	5	0.00039391790750807534
primary::APC+ARID1A+KRAS+PIK3CA+SOX9	primary	APC+ARID1A+KRAS+PIK3CA+SOX9	5	5	0.00039391790750807534
primary::APC+ARID1A+KRAS+SMAD4+SOX9+TP53	primary	APC+ARID1A+KRAS+SMAD4+SOX9+TP53	6	5	0.00039391790750807534
primary::APC+ARID1A+KRAS+TCF7L2	primary	APC+ARID1A+KRAS+TCF7L2	4	5	0.00039391790750807534
primary::APC+ARID1A+KRAS+TCF7L2+TP53	primary	APC+ARID1A+KRAS+TCF7L2+TP53	5	5	0.00039391790750807534
primary::APC+ARID1A+NRAS+TP53	primary	APC+ARID1A+NRAS+TP53	4	5	0.00039391790750807534
primary::APC+ARID1A+SMAD4+TP53	primary	APC+ARID1A+SMAD4+TP53	4	5	0.00039391790750807534
primary::APC+ARID1A+TCF7L2+TP53	primary	APC+ARID1A+TCF7L2+TP53	4	5	0.00039391790750807534
primary::APC+BRAF+PTEN+TP53	primary	APC+BRAF+PTEN+TP53	4	5	0.00039391790750807534
