rank	state	stage	genotype	event_count	N_v	L_v	F_hat	n_predecessors	genotype_inflow	stage_inflow	dominant_predecessor	dominant_edge_probability	dominant_contribution	rule	count_eligible	inflow_eligible	stable_for_scoring	flags	eligible_relobstq	R_raw	R_star	log2_R_star	high_confidence_relobstq	direction_flag	R_star_bootstrap_median	R_star_ci_low	R_star_ci_high	top_bootstrap_stability	high_confidence_top_bootstrap_stability	bootstrap_replicates
14	primary::FBXW7	primary	FBXW7	1	13	0.0010241865595209958	0.00028470985799161267	1	0.00028470985799161267	0.0	primary::WT	0.022035501387119145	0.00028470985799161267	rule_a_one_step	True	True	True	stable	True	3.597299240526713	3.287054000691194	1.716795157631929	True	relative_bottleneck	2.6889804562531223	1.3379252153779366	4.333726727010533	0.0	0.152	500
15	metastatic::APC+KRAS	metastatic	APC+KRAS	2	120	0.009454029780193808	0.0027270310172571367	2	0.0027270310172571367	0.0	metastatic::KRAS	0.4935438374274594	0.0025274048241380968	rule_a_one_step	True	True	True	stable	True	3.4667848355593476	3.167795671508384	1.66347928200578	True	relative_bottleneck	2.745651634161239	2.065766885489236	3.698333604329643	0.0	0.058	500
16	primary::CTNNB1+TP53	primary	CTNNB1+TP53	2	28	0.002205940282045222	0.0006562290170062278	2	0.0006562290170062278	0.0	primary::TP53	0.014685950757227038	0.00047321782554997707	rule_a_one_step	True	True	True	stable	True	3.3615402877906364	3.071627827616858	1.6190034231623518	True	relative_bottleneck	2.580663363820112	1.6384396868273514	4.15791781836127	0.0	0.098	500
17	primary::APC	primary	APC	1	122	0.009611596943197038	0.0030347296031764605	1	0.0030347296031764605	0.0	primary::WT	0.2348769686165781	0.0030347296031764605	rule_a_one_step	True	True	True	stable	True	3.167200441834867	2.8940486145933986	1.533089156646324	True	relative_bottleneck	2.4896081873190705	1.9596754635005325	3.226991496198171	0.0	0.006	500
18	metastatic::SMAD4	metastatic	SMAD4	1	13	0.0010241865595209958	0.0003326056126710217	1	0.0003326056126710217	0.0	metastatic::WT	0.0335060558859784	0.0003326056126710217	rule_a_one_step	True	True	True	stable	True	3.079282241261306	2.8137128255455623	1.4924750910822389	True	relative_bottleneck	2.380359139964666	1.17828160648179	3.9757504145812725	0.0	0.066	500
19	primary::BRAF+PTEN	primary	BRAF+PTEN	2	13	0.0010241865595209958	0.0003444153425453309	2	0.0003444153425453309	0.0	primary::BRAF	0.057519794968339845	0.00029455500456488536	rule_a_one_step	True	True	True	stable	True	2.973696087341113	2.717232836961085	1.4421381939502704	True	relative_bottleneck	2.2451571908803123	1.0955101710566146	4.072651453638885	0.0	0.072	500
20	metastatic::CTNNB1+TP53	metastatic	CTNNB1+TP53	2	15	0.001181753722524226	0.0004164148414525864	2	0.0004164148414525864	0.0	metastatic::TP53	0.014685950757227038	0.00030660812657883594	rule_a_one_step	True	True	True	stable	True	2.8379241132808137	2.593170372129468	1.3747169948343645	True	relative_bottleneck	2.2034689084653585	1.0474247028433508	3.875925859500585	0.0	0.046	500
21	primary::KRAS+PIK3CA	primary	KRAS+PIK3CA	2	60	0.004727014890096904	0.001814912812360184	2	0.001814912812360184	0.0	primary::KRAS	0.17196854229335226	0.0014632161480880837	rule_a_one_step	True	True	True	stable	True	2.6045410310069754	2.3799151651010035	1.2509101478737925	True	relative_bottleneck	2.0476263385180005	1.486524703920486	2.8244807118324182	0.0	0.0	500
22	metastatic::APC+NRAS	metastatic	APC+NRAS	2	11	0.0008666193965177657	0.00033569364696996135	2	0.00033569364696996135	0.0	metastatic::NRAS	0.4008802963921234	0.0003158278550320046	rule_a_one_step	True	True	True	stable	True	2.5815781792669275	2.3589327200408166	1.2381342715457277	True	relative_bottleneck	2.041601128909325	0.7826565618181778	4.863972858783141	0.006	0.106	500
23	primary::BRAF+FBXW7	primary	BRAF+FBXW7	2	10	0.0007878358150161507	0.00031141899382048266	2	0.00031141899382048266	0.0	primary::BRAF	0.047603771819557314	0.00024377571640047473	rule_a_one_step	True	True	True	stable	True	2.5298258234707176	2.3116436910246434	1.2089190428185514	True	relative_bottleneck	1.9747503219608304	0.8512046468047364	3.3363857511247756	0.0	0.008	500
24	primary::APC+SMAD4	primary	APC+SMAD4	2	11	0.0008666193965177657	0.00034844374621120484	2	0.00034844374621120484	0.0	primary::SMAD4	0.27448267535380827	0.0002811214669187353	rule_a_one_step	True	True	True	stable	True	2.487114214141645	2.272615698930071	1.1843537439347491	True	relative_bottleneck	1.9261155451087495	0.8464857154566513	4.222525613746975	0.0	0.066	500
25	primary::PIK3CA	primary	PIK3CA	1	23	0.0018120223745371465	0.0007522651263562802	1	0.0007522651263562802	0.0	primary::WT	0.05822256859048942	0.0007522651263562802	rule_a_one_step	True	True	True	stable	True	2.4087549836388398	2.201014476764963	1.1381686343200357	True	relative_bottleneck	1.837456446808308	1.1329069436278183	2.754777741257113	0.0	0.0	500
